,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS,Pgt0,Plt0
FloralAbundance_Intercept,-0.22,0.28,-0.51,0.06,2.37,2.48,19.48,0.5,0.5
FloralDiversity_Intercept,0.89,0.04,0.85,0.93,2.39,2.45,19.15,1,0
PollAbundance_Intercept,-1.19,0.09,-1.28,-1.1,2.04,2.67,10.98,0,1
PollDiversity_Intercept,-2.36,0.26,-2.63,-2.1,2.2,2.56,12.57,0,1
PD_Intercept,1.93,0.04,1.88,1.98,2.4,2.48,13.83,1,0
FloralAbundance_Area,0.1,0.1,0,0.21,2.91,2.28,11.24,0.54,0.46
FloralDiversity_Lat,0.67,0.05,0.61,0.72,1.95,2.8,23.78,1,0
FloralDiversity_Area,-0.21,0.16,-0.38,-0.05,2.57,2.39,15,0,1
PollAbundance_FloralAbundance,0.09,0,0.09,0.09,1.03,96883.2,118.87,1,0
PollAbundance_FloralDiversity,0.16,0,0.16,0.16,1.03,98031.54,125.3,1,0
PollAbundance_Area,0.35,0.1,0.24,0.45,2.61,2.36,10.84,1,0
PollDiversity_FloralAbundance,0.61,0,0.61,0.61,1.38,4.81,123.96,1,0
PollDiversity_FloralDiversity,2.02,0,2.02,2.02,1.23,32.32,33.89,1,0
PollDiversity_Lat,-0.56,0.33,-0.89,-0.23,2.38,2.48,15.27,0,1
PollDiversity_Area,-0.32,0.2,-0.51,-0.12,1.97,2.75,21.9,0,1
PD_PollAbundance,0.53,0.02,0.5,0.55,2.22,2.55,11.86,1,0
PD_FloralDiversity,-0.22,0.15,-0.38,-0.06,2.09,2.66,21.47,0,1
PD_PollDiversity,0.58,0.04,0.53,0.63,1.87,2.94,21.46,1,0
PD_FloralAbundance,-0.05,0.27,-0.33,0.23,2.65,2.37,12.07,0.5,0.5
PD_PollAbundance:FloralDiversity,0.68,0.18,0.49,0.86,2.3,2.49,14.44,1,0
