,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS,Pgt0,Plt0
FloralAbundance_Intercept,-0.15,0.39,-0.93,0.66,1,35689.81,43370.47,0.32,0.68
FloralDiversity_Intercept,0.77,0.5,-0.22,1.8,1,37582.77,38552.68,0.95,0.05
PollAbundance_Intercept,-1.03,0.05,-1.12,-0.95,1,25739.46,31774.22,0,1
PollDiversity_Intercept,-1.62,0.52,-2.7,-0.58,1,37205.38,38498.4,0.01,0.99
PD_Intercept,55.79,16.63,22.55,89.36,1,21316.24,25689.83,1,0
FloralAbundance_Area,0.18,0.39,-0.61,0.94,1,37623.17,41315.76,0.71,0.29
FloralDiversity_Lat,0.28,0.68,-1.1,1.67,1,30303.12,30350.6,0.71,0.29
FloralDiversity_Area,0.23,0.6,-0.97,1.46,1,31518.47,30315.94,0.7,0.3
PollAbundance_FloralAbundance,0.25,0,0.24,0.25,1,115650.25,69529.99,1,0
PollAbundance_FloralDiversity,-0.16,0.01,-0.17,-0.15,1,110277.31,64952.98,0,1
PollAbundance_Area,-0.01,0.04,-0.09,0.07,1,33968.73,33178.98,0.36,0.64
PollDiversity_FloralAbundance,0.7,0.07,0.56,0.83,1,106869.63,64544.56,1,0
PollDiversity_FloralDiversity,1.57,0.1,1.35,1.77,1,92962.4,61234.23,1,0
PollDiversity_Lat,0.34,0.7,-1.07,1.77,1,28317.56,29823.05,0.75,0.25
PollDiversity_Area,-0.67,0.62,-1.91,0.6,1,28229.48,28992.51,0.1,0.9
PD_PollAbundance,53.14,15.9,21.41,85.3,1,20973.42,25049.5,1,0
PD_FloralDiversity,36.27,10.55,15.49,57.86,1,20010.69,23271.07,1,0
PD_PollDiversity,-0.85,0.58,-2.06,0.27,1,22440.05,22899.17,0.05,0.95
PD_FloralAbundance,-15.61,4.63,-25.06,-6.38,1,20358.06,24117.26,0,1
PD_PollAbundance:FloralDiversity,24.56,7.43,9.87,39.62,1,21525.95,25484.33,1,0
