Site,Date,DateStart,SampleRound,startTime,endTime,startTemp,endTemp,startWind,endWind,startWeather,endWeather,samplingDay,dos
JC,7/11/12,7/11/12,1,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,1,1
JC,7/12/12,7/11/12,1,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,2,2
JC,7/14/12,7/14/12,2,8:55,13:00,64.2,73.9,1.6,2.1,clear,bright overcast,3,4
JC,7/15/12,7/15/12,3,8:50,13:50,61.6,71.1,1.8,3,clear,partly cloudy,4,5
JC,7/16/12,7/16/12,4,9:40,13:55,66.2,78,3,5,clear,clear,5,6
JC,7/17/12,7/17/12,5,9:30,14:30,65.5,77.5,1.6,2.1,clear,bright overcast,6,7
SC,7/20/12,7/20/12,1,9:30,14:30,68.3,76.9,0.7,4.9,clear,clear,1,10
SC,7/21/12,7/21/12,2,9:33,14:00,74.6,66.3,2.7,0,clear,raining,2,11
SC,7/23/12,7/21/12,2,9:02,12:30,72.9,61.6,0.7,2.8,clear,bright overcast,3,13
SC,7/26/12,7/26/12,3,9:45,13:00,71.7,69.8,1.9,1.8,clear,bright overcast,4,16
SC,7/27/12,7/27/12,4,9:38,14:00,70.3,76.6,1.9,0.8,clear,partly Cloudy,5,17
SC,7/28/12,7/28/12,5,9:45,13:55,69,72.4,2.5,0.9,clear,bright overcast,6,18
SC,7/29/12,7/28/12,5,10:35,12:10,64.7,71.6,4.2,3.2,partly cloudy,bright overcast,7,19
MM,7/31/12,7/31/12,1,10:45,15:30,69,72,2.4,2.5,partly cloudy,bright overcast,1,21
MM,8/1/12,8/1/12,2,8:50,13:30,66.2,67,2,3,clear,clear,2,22
MM,8/2/12,8/2/12,3,8:26,13:00,63.5,76.5,1.5,0.8,clear,clear,3,23
MM,8/3/12,8/3/12,4,8:26,12:00,65.3,69.3,0,3.5,clear,bright overcast,4,24
MM,8/4/12,8/4/12,5,8:33,13:30,62.4,73,2,3.5,clear,bright overcast,5,25
PL,8/9/12,8/9/12,1,9:53,15:00,74.1,78.4,1.9,2.6,clear,clear,1,30
PL,8/10/12,8/10/12,2,8:35,13:10,66.5,76,3.3,5.6,clear,clear,2,31
PL,8/11/12,8/11/12,3,8:47,13:00,69.8,75.2,1.1,3.7,clear,clear,3,32
PL,8/12/12,8/12/12,4,8:33,12:50,67.9,85,0,4,clear,clear,4,33
PL,8/13/12,8/13/12,5,9:15,14:00,72.8,75,0.7,1.2,clear,clear,5,34
CH,8/18/12,8/18/12,1,9:24,10:00,71.7,65,1.4,1.2,partly cloudy,partly cloudy,1,39
CH,8/19/12,8/19/12,2,8:32,9:00,68.3,65,1.2,1.2,clear,partly cloudy,2,40
CH,8/20/12,8/20/12,3,8:40,13:40,66,78,1,0.6,clear,clear,3,41
CH,8/21/12,8/21/12,4,8:30,12:50,71.7,82.8,2.9,0,clear,bright overcast,4,42
CH,8/22/12,8/22/12,5,8:15,9:52,72.1,70.5,0,0.8,clear,bright overcast,5,43
