UniqueID,TempID,Collector,SampleRound,Order,Family,Genus,SubGenus,Species,SubSpecies,PlantGenus,PlantSpecies,PlantFamily,Date,Dos,SampleRound.1,StartTime,EndTime,TempStart,TempEnd,WindStart,WindEnd,SkyStart,SkyEnd,Site,Country,State,County,Meadow,Forest,MtRange,Lat,Long,GenSp,PlantGenSp,Int,IntGen,PolSpec,PlantSpec,DateStart
JC_071212_26,26,HLS,1,Hymenoptera,Halictidae,Lasioglossum,Dialictus,aquilae,,Achillea,millefolium,Asteraceae,7/12/12,2,2,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Lasioglossum aquilae ,Achillea millefolium,Lasioglossum aquilae  Achillea millefolium,Lasioglossum Achillea,0.274620298,0.352277715,7/11/12
JC_071212_45,45,LCP,1,Diptera,Syrphidae,Eristalis,,stipator,,Achillea,millefolium,Asteraceae,7/12/12,2,2,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Eristalis stipator ,Achillea millefolium,Eristalis stipator  Achillea millefolium,Eristalis Achillea,0.184495494,0.352277715,7/11/12
JC_071412_153,153,HLS,2,Hymenoptera,Halictidae,Agapostemen,,angelicus,,Achillea,millefolium,Asteraceae,7/14/12,4,3,8:55,13:00,64.2,73.9,1.6,2.1,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Agapostemen angelicus ,Achillea millefolium,Agapostemen angelicus  Achillea millefolium,Agapostemen Achillea,0.264095135,0.352277715,7/14/12
JC_071512_135,135,HLS,3,Hymenoptera,Vespidae,Stenodynerus,,toas,,Achillea,millefolium,Asteraceae,7/15/12,5,4,8:50,13:50,61.6,71.1,1.8,3,clear,partly cloudy,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Stenodynerus toas ,Achillea millefolium,Stenodynerus toas  Achillea millefolium,Stenodynerus Achillea,0.179443535,0.352277715,7/15/12
JC_071512_75,75,LCP,3,Diptera,Syrphidae,Lejops,,polygrammus,,Achillea,millefolium,Asteraceae,7/15/12,5,4,8:50,13:50,61.6,71.1,1.8,3,clear,partly cloudy,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Lejops polygrammus ,Achillea millefolium,Lejops polygrammus  Achillea millefolium,Lejops Achillea,0.123098099,0.352277715,7/15/12
JC_071612_123,123,LCP,4,Hymenoptera,Apidae,Bombus,,bifarius,,Achillea,millefolium,Asteraceae,7/16/12,6,5,9:40,13:55,66.2,78,3,5,clear,clear,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Bombus bifarius ,Achillea millefolium,Bombus bifarius  Achillea millefolium,Bombus Achillea,0.32876744,0.352277715,7/16/12
JC_071712_57,57,LCP,5,Hymenoptera,Halictidae,Lasioglossum,Dialictus,laevissimum,,Achillea,millefolium,Asteraceae,7/17/12,7,6,9:30,14:30,65.5,77.5,1.6,2.1,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Lasioglossum laevissimum ,Achillea millefolium,Lasioglossum laevissimum  Achillea millefolium,Lasioglossum Achillea,0.175869591,0.352277715,7/17/12
JC_071712_27,27,HLS,5,Diptera,Syrphidae,Eristalis,,stipator,,Achillea,millefolium,Asteraceae,7/17/12,7,6,9:30,14:30,65.5,77.5,1.6,2.1,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Eristalis stipator ,Achillea millefolium,Eristalis stipator  Achillea millefolium,Eristalis Achillea,0.184495494,0.352277715,7/17/12
JC_071712_180,180,LCP,5,Diptera,Syrphidae,Platycheirus,,confusus,,Achillea,millefolium,Asteraceae,7/17/12,7,6,9:30,14:30,65.5,77.5,1.6,2.1,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Platycheirus confusus ,Achillea millefolium,Platycheirus confusus  Achillea millefolium,Platycheirus Achillea,0.558126381,0.352277715,7/17/12
SC_072012_138,138,LCP,1,Hymenoptera,Vespidae,Ancistrocerus,,bustamente,,Achillea,millefolium,Asteraceae,7/20/12,10,1,9:30,14:30,68.3,76.9,0.7,4.9,clear,clear,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Ancistrocerus bustamente ,Achillea millefolium,Ancistrocerus bustamente  Achillea millefolium,Ancistrocerus Achillea,0.508870142,0.352277715,7/20/12
SC_072012_141,141,LCP,1,Hymenoptera,Halictidae,Lasioglossum,Dialictus,semicaeruleum,,Achillea,millefolium,Asteraceae,7/20/12,10,1,9:30,14:30,68.3,76.9,0.7,4.9,clear,clear,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Lasioglossum semicaeruleum ,Achillea millefolium,Lasioglossum semicaeruleum  Achillea millefolium,Lasioglossum Achillea,0.247794197,0.352277715,7/20/12
SC_072012_199,199,HLS,1,Hymenoptera,Vespidae,Ancistrocerus,,catskill,,Achillea,millefolium,Asteraceae,7/20/12,10,1,9:30,14:30,68.3,76.9,0.7,4.9,clear,clear,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Ancistrocerus catskill ,Achillea millefolium,Ancistrocerus catskill  Achillea millefolium,Ancistrocerus Achillea,0.301188161,0.352277715,7/20/12
SC_072112_46,46,HLS,2,Diptera,Syrphidae,Eupeodes,,volucris,,Achillea,millefolium,Asteraceae,7/21/12,11,2,9:33,14:00,74.6,66.3,2.7,0,clear,raining,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Eupeodes volucris ,Achillea millefolium,Eupeodes volucris  Achillea millefolium,Eupeodes Achillea,0.333612536,0.352277715,7/21/12
SC_072712_47,47,HLS,4,Hymenoptera,Vespidae,Ancistrocerus,,bustamente,,Achillea,millefolium,Asteraceae,7/27/12,17,5,9:38,14:00,70.3,76.6,1.9,0.8,clear,partly Cloudy,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Ancistrocerus bustamente ,Achillea millefolium,Ancistrocerus bustamente  Achillea millefolium,Ancistrocerus Achillea,0.508870142,0.352277715,7/27/12
SC_072912_114,114,LCP,5,Hymenoptera,Vespidae,Ancistrocerus,,bustamente,,Achillea,millefolium,Asteraceae,7/29/12,19,7,10:35,12:10,64.7,71.6,4.2,3.2,partly cloudy,bright overcast,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Ancistrocerus bustamente ,Achillea millefolium,Ancistrocerus bustamente  Achillea millefolium,Ancistrocerus Achillea,0.508870142,0.352277715,7/28/12
PL_080912_415,415,LCP,1,Lepidoptera,Lycaenidae,Leptotes,,marina,,Achillea,millefolium,Asteraceae,8/9/12,30,1,9:53,15:00,74.1,78.4,1.9,2.6,clear,clear,PL,USA,Arizona,Graham,Hospital Flat,Coronado,Pinaleno Mts.,32.668392,109.877642,Leptotes marina ,Achillea millefolium,Leptotes marina  Achillea millefolium,Leptotes Achillea,0.337007606,0.352277715,8/9/12
CH_082112_52,52,LCP,4,Hymenoptera,Vespidae,Ancistrocerus,,bustamente,,Achillea,millefolium,Asteraceae,8/21/12,42,4,8:30,12:50,71.7,82.8,2.9,0,clear,bright overcast,CH,USA,Arizona,Cochise,Barefoot,Coronado,Chiricahua Mts.,31.917411,109.278936,Ancistrocerus bustamente ,Achillea millefolium,Ancistrocerus bustamente  Achillea millefolium,Ancistrocerus Achillea,0.508870142,0.352277715,8/21/12
SC_072312_11,11,HLS,2,Hymenoptera,Halictidae,Lasioglossum,Dialictus,semicaeruleum,,Agoseris,aurantica,Asteraceae,7/23/12,13,3,9:02,12:30,72.9,61.6,0.7,2.8,clear,bright overcast,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Lasioglossum semicaeruleum ,Agoseris aurantica,Lasioglossum semicaeruleum  Agoseris aurantica,Lasioglossum Agoseris,0.247794197,0.431862069,7/21/12
SC_072312_12,12,HLS,2,Hymenoptera,Halictidae,Lasioglossum,Dialictus,semicaeruleum,,Agoseris,aurantica,Asteraceae,7/23/12,13,3,9:02,12:30,72.9,61.6,0.7,2.8,clear,bright overcast,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Lasioglossum semicaeruleum ,Agoseris aurantica,Lasioglossum semicaeruleum  Agoseris aurantica,Lasioglossum Agoseris,0.247794197,0.431862069,7/21/12
