"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0"
"MeanFloralAbundance_Intercept",-0.5,0.19,-0.8,-0.18,1.62,1.74,17.41,0,1
"MeanFloralDiversity_Intercept",0.72,0.12,0.52,0.95,1.44,2.07,25.07,1,0
"NetNonBombusHBAbundance_Intercept",5.16,0.19,4.68,5.45,1.31,2.79,10.54,1,0
"NetBombusAbundance_Intercept",4.71,0.47,3.9,5.55,2.06,1.33,10.57,1,0
"NetHBAbundance_Intercept",4.54,0.27,4,5.13,1.08,8.42,20.26,1,0
"NetBeeDiversity_Intercept",0.06,0.16,-0.23,0.38,1.19,6.46,13.3,0.62,0.38
"CrithidiaPresence_Intercept",2848.41,363.36,2201.38,3561.33,1.02,15.88,56.72,1,0
"MeanFloralAbundance_Year2017",0.83,0.15,0.51,1.15,1.18,8.59,11.36,1,0
"MeanFloralAbundance_Year2018",0.65,0.38,0.15,1.28,1.99,1.39,21.19,1,0
"MeanFloralAbundance_Year2021",-0.25,0.24,-0.72,0.11,1.69,1.59,19.32,0.14,0.86
"MeanFloralAbundance_Year2022",0.47,0.13,0.18,0.67,1.04,12.23,33.71,1,0
"MeanFloralAbundance_Lat",0.19,0.06,0.05,0.33,1.11,7.78,12.92,1,0
"MeanFloralAbundance_SRDoy",0.03,0.11,-0.19,0.24,1.46,2.04,14.14,0.57,0.43
"MeanFloralAbundance_ISRDoyE2",0.07,0.06,0,0.21,1.34,2.81,20.46,0.96,0.04
"MeanFloralDiversity_Lat",0.43,0.05,0.33,0.54,1.04,14.63,38.82,1,0
"MeanFloralDiversity_Year2017",-0.46,0.2,-0.73,-0.04,1.27,6.12,28.23,0.01,0.99
"MeanFloralDiversity_Year2018",-0.21,0.21,-0.65,0.1,1.03,7.44,37.53,0.13,0.87
"MeanFloralDiversity_Year2021",-0.84,0.21,-1.18,-0.43,1,12.73,31.87,0,1
"MeanFloralDiversity_Year2022",-0.64,0.35,-1.27,-0.03,1.32,6.55,20.67,0.02,0.98
"MeanFloralDiversity_SRDoy",0.24,0.09,0.01,0.34,1.21,8.43,13.17,0.99,0.01
"MeanFloralDiversity_ISRDoyE2",-0.29,0.07,-0.42,-0.16,1.49,2.05,20.41,0,1
"NetNonBombusHBAbundance_MeanFloralAbundance",-0.15,0.07,-0.29,-0.05,1.23,5.5,12.83,0,1
"NetNonBombusHBAbundance_Year2017",-1.37,0.29,-1.93,-0.9,1.86,1.46,20.38,0,1
"NetNonBombusHBAbundance_Year2018",-1.71,0.26,-2.15,-1.18,1.25,8.51,11.76,0,1
"NetNonBombusHBAbundance_Year2021",-1.67,0.2,-2.04,-1.33,1.26,3.11,33.98,0,1
"NetNonBombusHBAbundance_Year2022",-2.94,0.32,-3.6,-2.33,1.12,6.41,22.26,0,1
"NetNonBombusHBAbundance_SRDoy",-0.27,0.12,-0.46,0,1.71,1.72,15.98,0.03,0.97
"NetNonBombusHBAbundance_ISRDoyE2",0.06,0.06,-0.02,0.24,1.2,6.57,10.51,0.89,0.11
"NetNonBombusHBAbundance_Lat",-0.17,0.07,-0.31,-0.05,1.13,5.6,17.07,0,1
"NetBombusAbundance_MeanFloralAbundance",0.02,0.08,-0.14,0.15,1.57,1.83,30.94,0.66,0.34
"NetBombusAbundance_Year2017",-1.85,0.39,-2.75,-1.26,1.65,1.67,10.67,0,1
"NetBombusAbundance_Year2018",-3.59,0.2,-3.91,-3.19,1.02,24.26,42.1,0,1
"NetBombusAbundance_Year2021",-1.68,0.17,-1.99,-1.32,1.04,13.81,27.78,0,1
"NetBombusAbundance_Year2022",-0.43,0.49,-1.06,0.59,1.15,6.72,29.53,0.21,0.79
"NetBombusAbundance_SRDoy",0.32,0.21,-0.09,0.65,1.4,2.19,13.61,0.95,0.05
"NetBombusAbundance_ISRDoyE2",-0.48,0.12,-0.69,-0.26,1.1,6.19,48.81,0,1
"NetBombusAbundance_Lat",-0.12,0.2,-0.45,0.33,1.22,3.27,15.73,0.22,0.78
"NetHBAbundance_MeanFloralAbundance",0.03,0.29,-0.43,0.76,1.4,7.98,11.07,0.55,0.45
