,UniqueID,Genus,GenSp,RBCL:Boraginaceae_Unknown_sp._A,RBCL:Asteraceae_Taraxacum_sp._A,RBCL:Asteraceae_Unknown_sp._E,RBCL:Asteraceae_Laennecia_schiedeana,RBCL:Apiaceae_Unknown_sp._D,RBCL:Apiaceae_Tanacetum__corymbosum,RBCL:Asteraceae_Tanacetum__balsamita,RBCL:Lamiaceae_Agastache_sp._A,RBCL:Asteraceae_Cichorium_intybus,RBCL:Asteraceae_Unknown_sp._D,RBCL:Fabaceae_Trifolium_sp._B,RBCL:Rosaceae_Fragaria_sp._B,RBCL:Brassicaceae_Unknown_sp._B,RBCL:Fabaceae_Trifolium_sp._D,RBCL:Asteraceae_Zizia_aptera,RBCL:Loasaceae_Mentzelia_sp._A,RBCL:Boraginaceae_Lithospermum_multiflorum,RBCL:Lamiaceae_Unknown_sp._L,RBCL:Caprifoliaceae_Viburnum_sp._A,RBCL:Unknown_Unknown_sp._P,RBCL:Ranunculaceae_Thalictrum_sp._A,RBCL:Araliaceae_Unknown_sp._A,RBCL:Apiaceae_Daucus_sp._A,RBCL:Betulaceae_Betula_sp._A,RBCL:Lamiaceae_Unknown_sp._M,RBCL:Unknown_Unknown_sp._Y,RBCL:Asteraceae_Unknown_sp._A,RBCL:Asteraceae_Tanacetum__corymbosum,RBCL:Asteraceae_Unknown_sp._B,RBCL:Rosaceae_Purshia_sp._B,RBCL:Rosaceae_Purshia_sp._A,RBCL:Asteraceae_Unknown_sp._C,RBCL:Asteraceae_Cichorium__intybus,RBCL:Fabaceae_Vicia_sp._A,RBCL:Lamiaceae_Unknown_sp._A,RBCL:Lamiaceae_Unknown_sp._B,RBCL:Campanulaceae_Campanula__rotundifolia,RBCL:Fabaceae_Lathyrus_arizonicus,RBCL:Asteraceae_Taraxacum__officinale,RBCL:Amaryllidaceae_Allium_sp._A,RBCL:Plantaginaceae_Penstamon_sp._A,RBCL:Apiaceae_Oxypolis_sp._A,RBCL:Lamiaceae_Unknown_sp._H,RBCL:Boraginaceae_Phacelia_heterophylla,RBCL:Gentianaceae_Gentiana_affinis,RBCL:Rosaceae_Potentilla__sp._A,RBCL:Fabaceae_Oxytropis__lambertii,RBCL:Fabaceae_Lupinus_palmeri,RBCL:Boraginaceae_Mertensia_ciliata,RBCL:Plantaginaceae_Penstamon_sp._B,RBCL:Apiaceae_Ligusticum_porteri,RBCL:Apiaceae_Unknown_sp._A,RBCL:Apiaceae_Unknown_sp._F,RBCL:Asparagaceae_Unknown_sp._A,RBCL:Scrophulariaceae_Verbascum_thapsus,RBCL:Fabaceae_Dalea_polygonoides,RBCL:Brassicaceae_Capsella__bursa-pastoris,RBCL:Fabaceae_Trifolium_sp._A,RBCL:Scrophulariaceae_Scrophularia_sp._A,RBCL:Rosaceae_Sanguisorba_sp._A,RBCL:Brassicaceae_Sisymbrium_sp._A,RBCL:Rosaceae_Rubus__sp._A,RBCL:Geraniaceae_Geranium__sp._A,RBCL:Apiaceae_Unknown_sp._M
588,20417,Bombus,Bombus.sonorus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,20418,Apis,Apis.mellifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,20420,Apis,Apis.mellifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900769230769231,0.0,0.0,0.0284615384615385,0.0323076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,20423,Bombus,Bombus.centralis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.515384615384615,0.0,0.0,0.0,0.205384615384615,0.0,0.0,0.0,0.0,0.0,0.116923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,20428,Megachile,Megachile.frigida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193076923076923,0.214615384615385,0.0,0.0,0.0,0.312307692307692,0.0553846153846154,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0946153846153846,0.0,0.0,0.0,0.0,0.0,0.0
601,20430,Megachile,Megachile.mellitarsis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276153846153846,0.276153846153846,0.0,0.0,0.0,0.366153846153846,0.0815384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,20431,Megachile,Megachile.fidelis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557692307692308,0.442307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,20433,Megachile,Megachile.fidelis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243076923076923,0.283076923076923,0.0,0.0,0.0,0.404615384615385,0.0415384615384615,0.0,0.0,0.0,0.0,0.0,0.0207692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003076923076923
605,20434,Megachile,Megachile.relativa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664615384615385,0.233846153846154,0.0,0.0,0.0,0.0,0.0623076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
606,20436,Megachile,Megachile.frigida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371538461538462,0.145384615384615,0.0,0.0,0.0,0.0,0.44,0.0184615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
