GenusSpecies,weighted.betweenness,weighted.closeness,partner.diversity,d,rarified.degree
Achillea millefolium,0,0.008081383,2.607094505,0.317562239,76.25
Agastache pallidiflora neomexicana,0,0.004753366,1.80804572,0.381175333,20.5
Agastache pallidiflora pallidiflora,0,0.000404172,0,0.283164703,1
Agoseris aurantiaca,0,0.006797223,1.242767868,0.382907273,12
Agoseris glauca,0,0.002216129,1.560710409,0.180684512,13
Allium cernuum,0,0.008502155,1.845799187,0.32587078,16.25
Allium geyeri,0,0.002537964,1.831020481,0.318736263,22
Androsace chamaejasme,0,0.000792733,0.693147181,0.216190606,3
Arenaria lanuginosa,0,0.001529053,1.039720771,0.354577226,5
Calochortus gunnisonii,0,0.002217618,1.242453325,0.308126279,7
Campanula parryi,0,0.000791046,0,0.562133512,1
Campanula rotundifolia,0.029094989,0.018464336,2.622752372,0.55969242,55.72727273
Castilleja austromontana,0,0.000404984,0,0.244684969,1
Castilleja miniata,0,0.0041809,0.61724177,0.644936708,2
Cerastium nutans,0.007180254,0.011362053,2.053134383,0.468868368,18.16666667
Cirsium arizonicum,0,0.001342372,0.950270539,0.415310853,4
Cirsium neomexicanum,0,0.006492861,1.810161332,0.334228822,10.125
Cirsium parryi,0.07382199,0.018442581,1.743308044,0.539257413,35
Commelina dianthifolia,0,0.007786736,1.109104533,0.524347683,23
Corydalis aurea,0,0.000403554,0,0.467048663,1
Cosmos parviflorus,0,0.002207053,1.494175138,0.558595712,9.5
Cymopterus lemmonii,0,0.016738178,3.110669983,0.339268039,150.25
Dodecatheon pulchellum,0,0.003155805,2.019814992,0.437158963,12.16666667
Drymaria leptophylla,0,0.001527587,1.039720771,0.359757172,5
Echeandia flavescens,0,0.000769195,1.098612289,0.531118787,6
Eremogone fendleri,0,0.015806855,3.056514028,0.311075679,42
Erigeron arizonicus,0,0.002216342,1.277034259,0.291585444,6
Erigeron divergens,0,0.004300014,2.385428641,0.521258327,26.5
Erigeron flagellaris,0,0.011921702,2.840974876,0.33178931,100.25
