"Site","Year","SampleRound","PollAbundance","PollRichness","PollDiversity","SiteParasitismRate","HBAbundance","HBSiteParasitismRate"
"CH",2012,1,338,31,1.81517316092552,NA,176,NA
"CH",2017,1,127,28,2.61264216346488,NA,NA,NA
"CH",2017,2,21,13,2.33454910921257,NA,NA,NA
"CH",2017,3,60,20,2.40217016310094,NA,2,NA
"CH",2018,1,22,7,1.78716713628778,0.5,6,0.5
"CH",2018,2,26,10,1.70902678984458,1,NA,NA
"HM",2017,1,224,27,2.18366684051715,NA,2,NA
"HM",2017,2,197,29,2.23365792716166,NA,2,NA
"HM",2017,3,263,36,2.60245060504574,NA,3,NA
"HM",2018,1,170,33,2.82785778960363,0.305084745762712,25,0.24
"HM",2018,2,64,15,2.26444187164938,0.333333333333333,13,0.230769230769231
"JC",2012,1,459,63,3.33978574506247,NA,NA,NA
"JC",2017,1,87,27,2.85678275033675,NA,NA,NA
"JC",2017,2,100,25,2.63571662760979,NA,NA,NA
"JC",2017,3,175,32,2.66017919236828,NA,NA,NA
"JC",2018,1,59,28,3.0609686698633,0.769230769230769,NA,NA
"JC",2018,2,42,17,2.52220731295852,0.529411764705882,NA,NA
"MM",2012,1,757,42,2.75829691171535,NA,45,NA
"MM",2017,1,141,29,2.78831326276008,NA,1,NA
"MM",2017,2,520,38,2.29156771309918,NA,26,NA
"MM",2017,3,351,31,2.49525186032372,NA,15,NA
"MM",2018,1,124,25,2.699760573923,0.461538461538462,33,0.482758620689655
"MM",2018,2,88,21,2.17600160763604,0.5,32,0.516129032258065
"PL",2012,1,518,47,2.76176299240252,NA,85,NA
"PL",2017,1,10,8,2.02532622077007,NA,NA,NA
"PL",2018,1,57,9,1.56364560730892,0.638888888888889,24,0.625
"PL",2018,2,32,6,0.960624761282822,0.333333333333333,23,0.347826086956522
"SC",2012,1,944,57,2.86095221886906,NA,NA,NA
"SC",2017,1,154,30,2.63908446087016,NA,NA,NA
"SC",2017,2,349,30,2.49367270934136,NA,NA,NA
"SC",2017,3,257,28,2.41400386873318,NA,NA,NA
"SC",2018,1,134,23,2.12181924102241,0.933333333333333,NA,NA
"SC",2018,2,28,15,2.36275748942537,0.4,NA,NA
"SM",2017,1,99,24,2.37364206512681,NA,NA,NA
"SM",2018,1,63,19,2.52227977500494,0.846153846153846,NA,NA
"SM",2018,2,40,17,2.41322019741474,0.833333333333333,NA,NA
"SS",2017,1,39,14,2.16720416299277,NA,2,NA
"UK",2017,1,40,2,0.116906849137531,NA,NA,NA
"VC",2017,1,78,12,1.16788292283903,NA,NA,NA
