"Site","Year","SampleRound","FloralAbundance","FloralRichness","FloralDiversity","FloralDiv"
"CH","2017",0,2890,11,1.79472458925014,NA
"CH","2017",1,10,1,0,NA
"CH","2017",2,740,4,1.08368124744255,NA
"CH","2018",1,2680,13,1.1143404711122,NA
"CH","2018",2,4560,13,1.95363534545792,NA
"HM","2017",1,6310,6,0.559597491861144,NA
"HM","2017",2,3620,9,1.34588000530899,NA
"HM","2017",3,3610,15,1.91231997297367,NA
"HM","2018",2,4020,19,2.26265473435341,NA
"JC","2017",1,990,11,1.76086468866543,NA
"JC","2017",2,4950,15,2.29109442767622,NA
"JC","2017",3,2720,11,1.83856421437447,NA
"JC","2018",1,2730,13,2.03437927282013,NA
"JC","2018",2,2320,15,2.33103376067544,NA
"MM","2017",0,4320,17,1.84688496397898,NA
"MM","2017",1,1270,9,1.44617984917199,NA
"MM","2017",2,2580,12,2.03593762585302,NA
"MM","2018",1,8010,25,2.48007305301665,NA
"MM","2018",2,5520,17,2.24658177140747,NA
"PL","2017",1,60,2,0.693147180559945,NA
"PL","2018",1,2530,12,1.57724073535572,NA
"PL","2018",2,4270,12,1.04977739185342,NA
"RP","2018",1,2050,7,1.09073484960805,NA
"SC","2017",0,3060,10,2.00563886289665,NA
"SC","2017",1,16930,8,0.626456240334087,NA
"SC","2017",2,3660,9,1.36554663259965,NA
"SC","2018",1,4700,14,1.37795588919955,NA
"SC","2018",2,1410,11,1.87245614045887,NA
"SM","2017",1,9010,6,0.99561872992585,NA
"SM","2018",1,3900,17,2.45492833186189,NA
"SM","2018",2,1920,15,2.31425048388762,NA
"SS","2017",1,6230,4,0.7321749573044,NA
"UK","2017",1,1940,4,0.774806558528153,NA
"VC","2017",1,1570,8,1.14666539921652,NA
