"GenusSpecies","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d","r.degree"
"Agapostemon angelicus",30,0.32258064516129,2.62776986969949,0.0542589956566496,0.0247933884297521,0.966867469879518,0.684782608695652,0.336394252688188,0.0783837693793471,1.1198347107438,0.0244583151306771,0.0637298286474796,0.00538997346474602,0.00705203036380128,NA,2.53384351430233,12.6018485599345,0.424039931198706,0.584200489688295,0.160418260572215,36.75
"Allograpta exotica",2,0.021505376344086,0.0258563899868248,-0.487071805006588,0.553719008264463,0.989130434782609,0.989130434782609,0.703253309548774,0.0129281949934124,1.92148760330579,0.000861261130659057,0,0.00312342052059641,0.000395347417965713,NA,0.693147180559945,2,0.0672980522154298,0.0147848196628684,0.386505891812745,3
"Allograpta obliqua",9,0.0967741935483871,0.226317795402234,-0.0859646893997518,0.206611570247934,0.976086956521739,0.91304347826087,0.39367019550137,0.0481229448014686,1.35123966942149,0.00842114261084004,0,0.00472659211523882,0.002098610227173,NA,2.00970918189415,7.46114719507993,0.251060336760748,0.276456116395141,0.330231276965126,13.1666666666667
"Anthidium maculosum",13,0.139784946236559,1.3374788141395,0.0259599087799615,0.136363636363636,0.976086956521739,0.869565217391304,0.401122533254843,0.0768944464306622,1.45454545454545,0.00411657749953549,0,0.00443043972706596,0.00329531185136588,NA,2.13087191650061,8.42220707224568,0.283399065658576,0.24858155193521,0.340926271715983,29
"Anthidium manicatum",1,0.010752688172043,0.000930232558139535,-0.99906976744186,0.706611570247934,1,1,1,0.000930232558139535,1.73140495867769,0,0,0.0036367513267627,0.00020346061454215,NA,0,1,0.0336490261077149,0.101233637819004,0.0331825453723789,1
"Anthidium mormonum",1,0.010752688172043,0.00746268656716418,-0.992537313432836,0.710743801652893,1,1,1,0.00746268656716418,1.95454545454545,0,0,0.00302075435936315,0.000203257226599673,NA,0,1,0.0336490261077149,0.0126188906676712,0.321595201988405,1
"Anthidium tenuiflorae",1,0.010752688172043,0.0277777777777778,-0.972222222222222,0.714876033057851,1,1,1,0.0277777777777778,1.99586776859504,0,0,0.00293388299216578,0.000203310715661685,NA,0,1,0.0336490261077149,0.00339014973161315,0.503643128213706,1
"Anthophora californica",3,0.032258064516129,0.0692906353934882,-0.310236454868837,0.458677685950413,0.978260869565217,0.978260869565217,0.571040240720161,0.0230968784644961,1.71900826446281,0.0011787123780638,0,0.00368018701036139,0.000571588030422084,NA,1.09861228866811,3,0.100947078323145,0.0557491289198606,0.346395441634312,6
"Anthophora marginata",1,0.010752688172043,0.25,-0.75,0.71900826446281,1,1,1,0.25,2.10743801652893,0,0,0.00278778114733384,0.00020311636368532,NA,0,1,0.0336490261077149,0.000376683303512572,0.807982950759316,1
"Anthophora montana",30,0.32258064516129,3.88018105306594,0.0960060351021981,0.0289256198347107,0.957201086956522,0.684782608695652,0.329727213179971,0.175524441460422,1.15289256198347,0.0295189302179908,0.0257062052903011,0.00529520470053071,0.00652500919206412,NA,2.49786091731153,12.1564624504722,0.409053122373394,0.276928187394381,0.419559819005075,102.25
"Anthophora terminalis",15,0.161290322580645,1.54163720524023,0.0361091470160153,0.107438016528926,0.988657844990548,0.847826086956522,0.506788603002795,0.111223468066873,1.5495867768595,0.00603887664490761,0,0.00415797952994693,0.00406500665653936,NA,1.95790612575298,7.08447751901024,0.238385768996695,0.172603102027077,0.476530435588148,55.5
