"GenusSpecies","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d","r.degree"
"Agapostemon angelicus",32,0.316831683168317,3.75191000703662,0.0859971877198945,0.00452488687782805,0.963134328358209,0.69,0.315803475222929,0.120420476565396,1.15384615384615,0.0295170008244606,0.0525449566284889,0.00615180483097615,0.00730890408511102,NA,2.63775515468589,13.9817814154553,0.433514886854613,0.584894531877414,0.187836225126004,42.0833333333333
"Allograpta exotica",2,0.0198019801980198,0.0261206605999326,-0.486939669700034,0.53393665158371,0.99,0.99,0.703562363973514,0.0130603302999663,1.94117647058824,0.00100664999262625,0,0.00361870872410362,0.0005370443941105,NA,0.693147180559945,2,0.0620113952540283,0.0213586881631528,0.344237131999403,3
"Allograpta obliqua",7,0.0693069306930693,0.133182668236287,-0.123831047394816,0.248868778280543,0.965,0.94,0.389998417217428,0.0210250408261863,1.52488687782805,0.00768094513423511,0,0.00491541268357408,0.00140424756358788,NA,1.88915916375402,6.61380521524019,0.205065644667707,0.133112856552294,0.30803180840579,13.25
"Andrena apacheorum",29,0.287128712871287,4.49584460595362,0.120546365722539,0.0226244343891403,0.9428,0.72,0.271282333203602,0.224793576883617,1.22171945701357,0.0209792254321913,0.0171597393662228,0.00592563553571967,0.00621937877714285,NA,2.80265896118799,16.4884306326096,0.511235294538691,0.448187956455836,0.350942290593154,34.0625
"Andrena argemonis",3,0.0297029702970297,0.0451585463487162,-0.318280484550428,0.425339366515837,0.98,0.98,0.571547606649408,0.0150528487829054,1.79638009049774,0.000174136269209435,0,0.00401073550254817,0.000771500881392795,NA,1.09861228866811,3,0.0930170928810425,0.0607689127738735,0.297080841585398,6
"Andrena birtwelli",3,0.0297029702970297,0.0368878479747488,-0.321037384008417,0.389140271493213,0.997,0.98,0.785821094715208,0.0135039687590316,1.57466063348416,0.00077100053988426,0,0.004749555200386,0.00256597508901267,NA,0.687092027379972,1.98792628462815,0.0616370412859743,0.143998897616095,0.25132643777758,3.5
"Andrena costillensis",5,0.0495049504950495,0.0628996053154076,-0.187420078936918,0.330316742081448,0.99,0.96,0.552833609687399,0.0157989586009339,1.52488687782805,0.00253726436657475,0,0.00491541268357408,0.00177774072266403,NA,1.38629436111989,4,0.124022790508057,0.203941022461072,0.260477152692924,11
"Andrena segregans",1,0.0099009900990099,0.00131578947368421,-0.998684210526316,0.683257918552036,1,1,1,0.00131578947368421,1.68325791855204,0,0,0.00438768432797563,0.000279618371694073,NA,0,1,0.0310056976270142,0.104726470993523,0,1
"Andrena sp. 1",2,0.0198019801980198,0.00374887949801511,-0.498125560250992,0.538461538461538,0.99,0.99,0.703562363973514,0.00187443974900756,1.57466063348416,0.000946291934588218,0,0.004749555200386,0.000540196864711959,NA,0.693147180559945,2,0.0620113952540283,0.161361444122916,0.0450943219582119,3
"Andrena sp. 2",1,0.0099009900990099,0.0133333333333333,-0.986666666666667,0.687782805429864,1,1,1,0.0133333333333333,1.89140271493213,0,0,0.0037242543952233,0.000279668412405266,NA,0,1,0.0310056976270142,0.010334849111203,0.34912093291424,1
"Anthidium maculosum",11,0.108910891089109,1.61265148950969,0.0556955899554266,0.144796380090498,0.98,0.9,0.427810965523585,0.173571978604706,1.4841628959276,0.00285634569040754,0,0.00505111426072796,0.00361202480612136,NA,1.9773424629431,7.22352068059081,0.223970298024882,0.230508474576271,0.432855180444015,20
"Anthidium tenuiflorae",1,0.0099009900990099,0.0285714285714286,-0.971428571428571,0.692307692307692,1,1,1,0.0285714285714286,2.02714932126697,0,0,0.00339253942884714,0.000279136856269137,NA,0,1,0.0310056976270142,0.00482292958522806,0.464016676230756,1
"Anthophora californica",3,0.0297029702970297,0.074088074720334,-0.308637308426555,0.429864253393665,0.98,0.98,0.571547606649408,0.024696024906778,1.73303167420814,0.00143456726656402,0,0.00423187881346562,0.000770988226577091,NA,1.09861228866811,3,0.0930170928810425,0.0618712966790685,0.328723638883317,6
"Anthophora marginata",1,0.0099009900990099,0.25,-0.75,0.69683257918552,1,1,1,0.25,2.13574660633484,0,0,0.00321160399264196,0.00027904652764666,NA,0,1,0.0310056976270142,0.000551191952597492,0.791010430893135,1
"Anthophora montana",29,0.287128712871287,4.68864016702342,0.127194488518049,0.0180995475113122,0.961041666666667,0.72,0.333302065833953,0.223500819098493,1.21266968325792,0.0304307139470753,0.0293347902923361,0.00595579144175387,0.00687393652363916,NA,2.47875494286961,11.9264061130783,0.36978654171908,0.289697108294559,0.447944170626506,93
"Anthophora terminalis",13,0.128712871287129,1.6628528851594,0.0509886834738004,0.117647058823529,0.991739130434783,0.88,0.561440486161386,0.152840150606972,1.65158371040724,0.00349728527415584,0,0.00449322999909532,0.00429602043596433,NA,1.75655719315647,5.79246070284062,0.179599285068638,0.119825193409319,0.543141283029977,19.125
"Anthophora urbana",12,0.118811881188119,0.824858368332428,-0.0145951359722977,0.122171945701357,0.982941176470588,0.89,0.429819498757661,0.0490921195418586,1.52941176470588,0.00733828934049241,0,0.00490033473055698,0.00449957618728765,NA,2.0150423864638,7.50104531725064,0.232575142993204,0.203356878815656,0.331944422855508,14
"Apis mellifera",31,0.306930693069307,4.59736149280677,0.116043919122799,0.00904977375565611,0.96635593220339,0.7,0.360951706484644,0.365575521618641,1.24886877828054,0.0545579560889946,0.106358007203853,0.00583516781761708,0.00743150695491052,NA,2.35449253731928,10.532782511225,0.326576269714145,0.382632102114998,0.463747862071656,51.1666666666667
"Arctophila flagrans",4,0.0396039603960396,0.0280616429002906,-0.242984589274927,0.352941176470588,0.9875,0.97,0.571547606649408,0.00723927333715185,1.52488687782805,0.00196124858593649,0,0.00491541268357408,0.00195861458380813,NA,1.21488965394912,3.36992218619932,0.104486788331863,0.202563042579578,0.170787062491084,5
