"UniqueID","TempID","GenID","Order","Family","Genus","SubGenus","Species","SubSpecies","Sex","Site","Collector","SampleDay","SampleRound","Date","Dos","FieldPlantID","FinalPlantSp","PlantFamily","DateDetermined","Determiner","Author"
"JC_071212_26","26","bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","aquilae","","f","JC","HLS",2,1,"7/12/12",2,"yarrow","Achillea millefolium","Asteraceae",2013,"J.S. Ascher",""
"JC_071212_119","119","beetle",NA,NA,NA,NA,NA,NA,NA,"JC","HLS",2,1,"7/12/12",2,"Achillea millefolium","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071212_45","45","syrphid","Diptera","Syrphidae","Eristalis",NA,"stipator","","","JC","LCP",2,1,"7/12/12",2,"yarrow","Achillea millefolium","Asteraceae",2013,"M. Hauser","Osten Sacken"
"JC_071412_153","153","sweat bee","Hymenoptera","Halictidae","Agapostemen","","angelicus","","m","JC","HLS",3,2,"7/14/12",4,"Yarrow","Achillea millefolium","Asteraceae",2013,"J.S. Ascher","Cockerell"
"JC_071412_111","111","fly",NA,NA,NA,NA,NA,NA,NA,"JC","LCP",3,2,"7/14/12",4,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071412_112","112","fly",NA,NA,NA,NA,NA,NA,NA,"JC","LCP",3,2,"7/14/12",4,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071412_154","154","fly",NA,NA,NA,NA,NA,NA,NA,"JC","HLS",3,2,"7/14/12",4,"Yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071412_155","155","fly",NA,NA,NA,NA,NA,NA,NA,"JC","HLS",3,2,"7/14/12",4,"Yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071412_156","156","fly",NA,NA,NA,NA,NA,NA,NA,"JC","HLS",3,2,"7/14/12",4,"Yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071512_76","76","fly",NA,NA,NA,NA,NA,NA,NA,"JC","LCP",4,3,"7/15/12",5,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071512_128","128","beetle",NA,NA,NA,NA,NA,NA,NA,"JC","HLS",4,3,"7/15/12",5,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071512_135","135","bee","Hymenoptera","Vespidae","Stenodynerus","","toas","","","JC","HLS",4,3,"7/15/12",5,"yarrow","Achillea millefolium","Asteraceae",2013,"J. Carpenter","Cresson"
"JC_071512_176","176","fly",NA,NA,NA,NA,NA,NA,NA,"JC","HLS",4,3,"7/15/12",5,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071512_192","192","fly",NA,NA,NA,NA,NA,NA,NA,"JC","HLS",4,3,"7/15/12",5,"Achillea millefolium","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071512_75","75","syrphid","Diptera","Syrphidae","Lejops",NA,"polygrammus","","","JC","LCP",4,3,"7/15/12",5,"yarrow","Achillea millefolium","Asteraceae",2013,"M. Hauser","Loew"
"JC_071612_123","123","bumble bee","Hymenoptera","Apidae","Bombus","","bifarius","","f","JC","LCP",5,4,"7/16/12",6,"yarrow","Achillea millefolium","Asteraceae",2013,"R.W. Thorp","Cresson"
"JC_071612_59","59","wasp",NA,NA,NA,NA,NA,NA,NA,"JC","HLS",5,4,"7/16/12",6,"Yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071612_67","67","fly",NA,NA,NA,NA,NA,NA,NA,"JC","HLS",5,4,"7/16/12",6,"Yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071612_80","80","fly",NA,NA,NA,NA,NA,NA,NA,"JC","LCP",5,4,"7/16/12",6,"Yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071612_137","137","fly",NA,NA,NA,NA,NA,NA,NA,"JC","LCP",5,4,"7/16/12",6,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071612_138","138","fly",NA,NA,NA,NA,NA,NA,NA,"JC","LCP",5,4,"7/16/12",6,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071612_155","155","moth",NA,NA,NA,NA,NA,NA,NA,"JC","LCP",5,4,"7/16/12",6,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071712_57","57","bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","laevissimum","","f","JC","LCP",6,5,"7/17/12",7,"yarrow","Achillea millefolium","Asteraceae",2013,"J.S. Ascher","Smith"
"JC_071712_81","81","fly",NA,NA,NA,NA,NA,NA,NA,"JC","LCP",6,5,"7/17/12",7,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071712_85","85","beetle",NA,NA,NA,NA,NA,NA,NA,"JC","LCP",6,5,"7/17/12",7,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"JC_071712_27","27","syrphid","Diptera","Syrphidae","Eristalis",NA,"stipator","","","JC","HLS",6,5,"7/17/12",7,"yarrow","Achillea millefolium","Asteraceae",2013,"M. Hauser","Osten Sacken"
"JC_071712_180","180","fly","Diptera","Syrphidae","Platycheirus",NA,"confusus","","","JC","LCP",6,5,"7/17/12",7,"yarrow","Achillea millefolium","Asteraceae",2013,"M. Hauser","Curran"
"SC_072012_138","138","wasp","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","SC","LCP",1,1,"7/20/12",10,"Yarrow","Achillea millefolium","Asteraceae",2013,"J. Carpenter","Saussure"
"SC_072012_139","139","fly",NA,NA,NA,NA,NA,NA,NA,"SC","LCP",1,1,"7/20/12",10,"Yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"SC_072012_140","140","wasp",NA,NA,NA,NA,NA,NA,NA,"SC","LCP",1,1,"7/20/12",10,"Yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"SC_072012_141","141","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","SC","LCP",1,1,"7/20/12",10,"Yarrow","Achillea millefolium","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072012_198","198","fly",NA,NA,NA,NA,NA,NA,NA,"SC","HLS",1,1,"7/20/12",10,"Yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"SC_072012_199","199","wasp","Hymenoptera","Vespidae","Ancistrocerus","","catskill","","","SC","HLS",1,1,"7/20/12",10,"Yarrow","Achillea millefolium","Asteraceae",2013,"J. Carpenter","Saussure"
"SC_072112_46","46","syrphid","Diptera","Syrphidae","Eupeodes",NA,"volucris","","","SC","HLS",2,2,"7/21/12",11,"Yarrow","Achillea millefolium","Asteraceae",2013,"M. Hauser","Osten Sacken"
"SC_072612_131","131","fly",NA,NA,NA,NA,NA,NA,NA,"SC","LCP",4,3,"7/26/12",16,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"SC_072712_47","47","wasp","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","SC","HLS",5,4,"7/27/12",17,"yarrow","Achillea millefolium","Asteraceae",2013,"J. Carpenter","Saussure"
"SC_072712_261","261","fly",NA,NA,NA,NA,NA,NA,NA,"SC","HLS",5,4,"7/27/12",17,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"SC_072812_217","217","wasp",NA,NA,NA,NA,NA,NA,NA,"SC","LCP",6,5,"7/28/12",18,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"SC_072912_114","114","wasp","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","SC","LCP",7,5,"7/29/12",19,"yarrow","Achillea millefolium","Asteraceae",2013,"J. Carpenter","Saussure"
"PL_080912_415","415","blue","Lepidoptera","Lycaenidae","Leptotes",NA,"marina","","","PL","LCP",1,1,"8/9/12",30,"yarrow","Achillea millefolium","Asteraceae",2013,"L.Ponisio","Reakirt"
"PL_080912_95","95","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",1,1,"8/9/12",30,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_080912_96","96","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",1,1,"8/9/12",30,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_080912_97","97","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",1,1,"8/9/12",30,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_080912_98","98","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",1,1,"8/9/12",30,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_080912_99","99","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",1,1,"8/9/12",30,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_080912_336","336","fly",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",1,1,"8/9/12",30,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_080912_337","337","fly",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",1,1,"8/9/12",30,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
