"ConditionsPK","Date","Dos","SampleRound","StartTime","EndTime","TempStart","TempEnd","WindStart","WindEnd","SkyStart","SkyEnd","GeographyFK"
1,"7/11/12",1,1,"9:54","14:30",70.8,76.9,1.1,0,"clear","bright overcast",2
2,"7/12/12",2,2,"9:54","14:30",70.8,76.9,1.1,0,"clear","bright overcast",2
3,"7/14/12",4,3,"8:55","13:00",64.2,73.9,1.6,2.1,"clear","bright overcast",2
4,"7/15/12",5,4,"8:50","13:50",61.6,71.1,1.8,3,"clear","partly cloudy",2
5,"7/16/12",6,5,"9:40","13:55",66.2,78,3,5,"clear","clear",2
6,"7/17/12",7,6,"9:30","14:30",65.5,77.5,1.6,2.1,"clear","bright overcast",2
7,"7/20/12",10,1,"9:30","14:30",68.3,76.9,0.7,4.9,"clear","clear",5
8,"7/21/12",11,2,"9:33","14:00",74.6,66.3,2.7,0,"clear","raining",5
9,"7/23/12",13,3,"9:02","12:30",72.9,61.6,0.7,2.8,"clear","bright overcast",5
10,"7/26/12",16,4,"9:45","13:00",71.7,69.8,1.9,1.8,"clear","bright overcast",5
11,"7/27/12",17,5,"9:38","14:00",70.3,76.6,1.9,0.8,"clear","partly Cloudy",5
12,"7/28/12",18,6,"9:45","13:55",69,72.4,2.5,0.9,"clear","bright overcast",5
13,"7/29/12",19,7,"10:35","12:10",64.7,71.6,4.2,3.2,"partly cloudy","bright overcast",5
14,"7/31/12",21,1,"10:45","15:30",69,72,2.4,2.5,"partly cloudy","bright overcast",3
15,"8/1/12",22,2,"8:50","13:30",66.2,67,2,3,"clear","clear",3
16,"8/2/12",23,3,"8:26","13:00",63.5,76.5,1.5,0.8,"clear","clear",3
17,"8/3/12",24,4,"8:26","12:00",65.3,69.3,0,3.5,"clear","bright overcast",3
18,"8/4/12",25,5,"8:33","13:30",62.4,73,2,3.5,"clear","bright overcast",3
19,"8/9/12",30,1,"9:53","15:00",74.1,78.4,1.9,2.6,"clear","clear",4
20,"8/10/12",31,2,"8:35","13:10",66.5,76,3.3,5.6,"clear","clear",4
21,"8/11/12",32,3,"8:47","13:00",69.8,75.2,1.1,3.7,"clear","clear",4
22,"8/12/12",33,4,"8:33","12:50",67.9,85,0,4,"clear","clear",4
23,"8/13/12",34,5,"9:15","14:00",72.8,75,0.7,1.2,"clear","clear",4
24,"8/18/12",39,1,"9:24","10:00",71.7,65,1.4,1.2,"partly cloudy","partly cloudy",1
25,"8/19/12",40,2,"8:32","9:00",68.3,65,1.2,1.2,"clear","partly cloudy",1
26,"8/20/12",41,3,"8:40","13:40",66,78,1,0.6,"clear","clear",1
27,"8/21/12",42,4,"8:30","12:50",71.7,82.8,2.9,0,"clear","bright overcast",1
28,"8/22/12",43,5,"8:15","9:52",72.1,70.5,0,0.8,"clear","bright overcast",1
