"InsectPK","Order","Family","Genus","SubGenus","Species","SubSpecies","Determiner","Author","DateDetermined"
1,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","aquilae","","J.S. Ascher","",2013
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Diptera","Syrphidae","Eristalis",NA,"stipator","","M. Hauser","Osten Sacken",2013
4,"Hymenoptera","Halictidae","Agapostemen","","angelicus","","J.S. Ascher","Cockerell",2013
5,"Hymenoptera","Vespidae","Stenodynerus","","toas","","J. Carpenter","Cresson",2013
6,"Diptera","Syrphidae","Lejops",NA,"polygrammus","","M. Hauser","Loew",2013
7,"Hymenoptera","Apidae","Bombus","","bifarius","","R.W. Thorp","Cresson",2013
8,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","laevissimum","","J.S. Ascher","Smith",2013
9,"Diptera","Syrphidae","Platycheirus",NA,"confusus","","M. Hauser","Curran",2013
10,"Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","J. Carpenter","Saussure",2013
11,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","J.S. Ascher","Cockerell",2013
12,"Hymenoptera","Vespidae","Ancistrocerus","","catskill","","J. Carpenter","Saussure",2013
13,"Diptera","Syrphidae","Eupeodes",NA,"volucris","","M. Hauser","Osten Sacken",2013
14,"Lepidoptera","Lycaenidae","Leptotes",NA,"marina","","L.Ponisio","Reakirt",2013
15,"Hymenoptera","Apidae","Anthophora","","californica","","J.S. Ascher","Cresson",2013
16,"Hymenoptera","Apidae","Anthophora","","terminalis","","J.S. Ascher","Cresson",2013
17,"Hymenoptera","Apidae","Bombus","","flavifrons","","R.W. Thorp","Cresson",2013
18,"Hymenoptera","Apidae","Bombus","","fervidus","","R.W. Thorp","Fabricius",2013
19,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","","J.S. Ascher","Cockerell",2013
20,"Lepidoptera","Pieridae","Colias",NA,"eurytheme","","L.Ponisio","Boisduval",2013
21,"Hymenoptera","Andrenidae","Andrena",NA,"apacheorum","","J.S. Ascher","Cockerell",2013
22,"Diptera","Syrphidae","Copestylum",NA,"avidum","","M. Hauser","Sacken",2013
23,"Diptera","Syrphidae","Chrysotoxum",NA,"sp.","a","M. Hauser","",2013
24,"Hymenoptera","Apidae","Bombus","","huntii","","R.W. Thorp","Greene",2013
25,"Diptera","Syrphidae","Copestylum",NA,"lentum","","M. Hauser","Williston",2013
26,"Hymenoptera","Apidae","Bombus","","rufocinctus","","R.W. Thorp","Cresson",2013
27,"Hymenoptera","Halictidae","Dufourea","","fimbriata","","J.S. Ascher","Cresson",2013
28,"Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","J.S. Ascher","Cockerell",2013
