site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,determiner,dateDetermined,notes
CH,8/18/12,1,bumble bee,,,vetch,Vicia americana,1,1,LCP,,,
CH,8/18/12,2,fly,,,giant white carrot 2,Psacalium decompositum,1,1,LCP,,,
CH,8/18/12,3,fly,,,giant white carrot 2,Psacalium decompositum,1,1,LCP,,,
CH,8/18/12,4,fly,,,giant white carrot 2,Psacalium decompositum,1,1,LCP,,,
CH,8/18/12,5,beetle,,,giant white carrot 2,Psacalium decompositum,1,1,LCP,,,
CH,8/18/12,6,fly,,,giant white carrot 2,Psacalium decompositum,1,1,LCP,,,
CH,8/18/12,7,hawk moth,,,spike mint,Monarda citriodora austromontana,1,1,LCP,,,
CH,8/18/12,8,honey bee,Apis mellifera,,mullien,Verbascum thapsus,1,1,LCP,,,
CH,8/18/12,9,bumble bee,,,spike mint,Monarda citriodora austromontana,1,1,LCP,,,
CH,8/18/12,10,syrphid,,,small pink flower,Gaura coccinea,1,1,LCP,,,
CH,8/18/12,11,fly,,,small pink flower,Gaura coccinea,1,1,LCP,,,
CH,8/18/12,12,bumble bee,,,small pink flower,Gaura coccinea,1,1,LCP,,,
CH,8/18/12,13,honey bee,Apis mellifera,,spike mint,Monarda citriodora austromontana,1,1,HLS,,,
CH,8/18/12,14,wasp,,,giant white carrot 2,Psacalium decompositum,1,1,HLS,,,
CH,8/18/12,15,wasp,,,giant white carrot 2,Psacalium decompositum,1,1,HLS,,,
CH,8/18/12,16,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,1,1,HLS,,,
CH,8/18/12,17,fly,,,giant white carrot 2,Psacalium decompositum,1,1,HLS,,,
CH,8/18/12,18,honey bee,Apis mellifera,,toilet paper plant,Verbascum thapsus,1,1,HLS,,,
CH,8/18/12,19,fly,,,giant white carrot 2,Psacalium decompositum,1,1,HLS,,,
CH,8/18/12,20,nymphalidae,,,giant white carrot 2,Psacalium decompositum,1,1,HLS,,,
CH,8/18/12,21,vanessa,,,purple flower,Glandularia bipinnatifida,1,1,HLS,,,
CH,8/19/12,1,bumble bee,,,spike mint,Monarda citriodora austromontana,2,1,HLS,,,
CH,8/19/12,2,honey bee,,,spike mint,Monarda citriodora austromontana,2,1,HLS,,,
CH,8/19/12,3,bumble bee,,,yellow aster,Heliomeris multiflora var. nevadensis,2,1,HLS,,,
CH,8/19/12,4,bee,,,morning glory,Ipomoea  plummerae,2,1,HLS,,,
CH,8/19/12,5,honey bee,,,spike mint,Monarda citriodora austromontana,2,1,HLS,,,
CH,8/19/12,6,fly,,,yellow aster,Heliomeris multiflora var. nevadensis,2,1,HLS,,,
CH,8/19/12,7,honey bee,,,pink aster,Cosmos parviflorus,2,1,HLS,,,
CH,8/19/12,8,bee,,,yellow aster,Heliomeris multiflora var. nevadensis,2,1,HLS,,,
CH,8/19/12,9,bumble bee,,,spike mint,Monarda citriodora austromontana,2,1,HLS,,,
CH,8/19/12,10,bumble bee,,,spike mint,Monarda citriodora austromontana,2,1,HLS,,,
CH,8/19/12,11,bumble bee,,,vetch,Vicia americana,2,1,HLS,,,
CH,8/19/12,12,honey bee,,,spike mint,Monarda citriodora austromontana,2,1,HLS,,,
CH,8/19/12,13,honey bee,,,spike mint,Monarda citriodora austromontana,2,1,HLS,,,
CH,8/19/12,14,syrphid,,,giant white carrot 2,Psacalium decompositum,2,1,LCP,,,
CH,8/19/12,15,bumble bee,,,vetch,Vicia americana,2,1,LCP,,,
CH,8/19/12,16,bee,,,big yellow aster,Hymenoxys hoopesii,2,1,LCP,,,
CH,8/19/12,17,syrphid,,,little pink,Ceratium nutans,2,1,LCP,,,
CH,8/19/12,18,vanessa,,,purple flower,Glandularia bipinnatifida,2,1,HLS,,,
CH,8/19/12,19,bombiliid,,,beebalm,Monarda citriodora spp. austromontana,2,1,HLS,,,
CH,8/20/12,1,bumble bee,,,clover,Trifolium pinetorum,3,1,LCP,,,
CH,8/20/12,2,bumble bee,,,clover,Trifolium pinetorum,3,1,LCP,,,
CH,8/20/12,3,bumble bee,,,clover,Trifolium pinetorum,3,1,LCP,,,
CH,8/20/12,4,honey bee,Apis mellifera,,clover,Trifolium pinetorum,3,1,LCP,,,
CH,8/20/12,5,turantula wasp,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,6,turantula wasp,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,7,fly,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,8,wasp,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,9,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,10,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,11,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,12,wasp,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,13,fly,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,14,bombiliid,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
