"site","dos","date","number","genID","order","family","genus","subgenus","species","subspecies","sex","fieldPlantID","plantFamily","finalPlantID","samplingDay","sampingRound","collector","determiner","dateDetermined","author","temp.id"
"JC",2,"7/12/12","26","bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","aquilae","","f","yarrow","Asteraceae","Achillea millefolium",2,1,"HLS","J.S. Ascher","2013",NA,"JC_071212_26"
"JC",2,"7/12/12","119","beetle",NA,NA,NA,NA,NA,NA,"","Achillea millefolium","Asteraceae","Achillea millefolium",2,1,"HLS","","",NA,"JC_071212_119"
"JC",2,"7/12/12","45","syrphid","Diptera","Syrphidae","Eristalis","","stipator","","","yarrow","Asteraceae","Achillea millefolium",2,1,"LCP","M. Hauser","2013","Osten Sacken","JC_071212_45"
"JC",4,"7/14/12","153","sweat bee","Hymenoptera","Halictidae","Agapostemen","","angelicus","","m","Yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","J.S. Ascher","2013","Cockerell","JC_071412_153"
"JC",4,"7/14/12","111","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"LCP","","",NA,"JC_071412_111"
"JC",4,"7/14/12","112","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"LCP","","",NA,"JC_071412_112"
"JC",4,"7/14/12","154","fly",NA,NA,NA,NA,NA,NA,"","Yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","","",NA,"JC_071412_154"
"JC",4,"7/14/12","155","fly",NA,NA,NA,NA,NA,NA,"","Yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","","",NA,"JC_071412_155"
"JC",4,"7/14/12","156","fly",NA,NA,NA,NA,NA,NA,"","Yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","","",NA,"JC_071412_156"
"JC",5,"7/15/12","76","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"LCP","","",NA,"JC_071512_76"
"JC",5,"7/15/12","128","beetle",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"HLS","","",NA,"JC_071512_128"
"JC",5,"7/15/12","135","bee","Hymenoptera","Vespidae","Stenodynerus","","toas","","","yarrow","Asteraceae","Achillea millefolium",4,1,"HLS","J.M. Carpenter","2013",NA,"JC_071512_135"
"JC",5,"7/15/12","176","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"HLS","","",NA,"JC_071512_176"
"JC",5,"7/15/12","192","fly",NA,NA,NA,NA,NA,NA,"","Achillea millefolium","Asteraceae","Achillea millefolium",4,1,"HLS","","",NA,"JC_071512_192"
"JC",5,"7/15/12","75","syrphid","Diptera","Syrphidae","Lejops","","polygrammus","","","yarrow","Asteraceae","Achillea millefolium",4,1,"LCP","M. Hauser","2013","Loew","JC_071512_75"
"JC",6,"7/16/12","123","bumble bee","Hymenoptera","Apidae","Bombus","","bifarius","","f","yarrow","Asteraceae","Achillea millefolium",5,1,"LCP","R.W. Thorp","2013","Cresson","JC_071612_123"
"JC",6,"7/16/12","59","wasp",NA,NA,NA,NA,NA,NA,"","Yarrow","Asteraceae","Achillea millefolium",5,1,"HLS","","",NA,"JC_071612_59"
"JC",6,"7/16/12","67","fly",NA,NA,NA,NA,NA,NA,"","Yarrow","Asteraceae","Achillea millefolium",5,1,"HLS","","",NA,"JC_071612_67"
"JC",6,"7/16/12","80","fly",NA,NA,NA,NA,NA,NA,"","Yarrow","Asteraceae","Achillea millefolium",5,1,"LCP","","",NA,"JC_071612_80"
"JC",6,"7/16/12","137","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",5,1,"LCP","","",NA,"JC_071612_137"
"JC",6,"7/16/12","138","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",5,1,"LCP","","",NA,"JC_071612_138"
"JC",6,"7/16/12","155","moth",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",5,1,"LCP","","",NA,"JC_071612_155"
"JC",7,"7/17/12","57","bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","laevissimum","","f","yarrow","Asteraceae","Achillea millefolium",6,1,"LCP","J.S. Ascher","2013",NA,"JC_071712_57"
"JC",7,"7/17/12","81","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",6,1,"LCP","","",NA,"JC_071712_81"
"JC",7,"7/17/12","85","beetle",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",6,1,"LCP","","",NA,"JC_071712_85"
"JC",7,"7/17/12","27","syrphid","Diptera","Syrphidae","Eristalis","","stipator","","","yarrow","Asteraceae","Achillea millefolium",6,1,"HLS","M. Hauser","2013","Osten Sacken","JC_071712_27"
"JC",7,"7/17/12","180","fly","Diptera","Syrphidae","Platycheirus","","confusus","","","yarrow","Asteraceae","Achillea millefolium",6,1,"LCP","M. Hauser","2013","Curran","JC_071712_180"
"SC",10,"7/20/12","138","wasp","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","Yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","J.M. Carpenter","2013",NA,"SC_072012_138"
"SC",10,"7/20/12","139","fly",NA,NA,NA,NA,NA,NA,"","Yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","","",NA,"SC_072012_139"
"SC",10,"7/20/12","140","wasp",NA,NA,NA,NA,NA,NA,"","Yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","","",NA,"SC_072012_140"
"SC",10,"7/20/12","141","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","Yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","J.S. Ascher","2013",NA,"SC_072012_141"
"SC",10,"7/20/12","198","fly",NA,NA,NA,NA,NA,NA,"","Yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","","",NA,"SC_072012_198"
"SC",10,"7/20/12","199","wasp","Hymenoptera","Vespidae","Ancistrocerus","","catskill","","","Yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","J.M. Carpenter","2013",NA,"SC_072012_199"
"SC",11,"7/21/12","46","syrphid","Diptera","Syrphidae","Eupeodes","","volucris","","","Yarrow","Asteraceae","Achillea millefolium",2,1,"HLS","M. Hauser","2013","Osten Sacken","SC_072112_46"
"SC",16,"7/26/12","131","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"LCP","","",NA,"SC_072612_131"
"SC",17,"7/27/12","47","wasp","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","yarrow","Asteraceae","Achillea millefolium",5,1,"HLS","J.M. Carpenter","2013",NA,"SC_072712_47"
"SC",17,"7/27/12","261","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",5,1,"HLS","","",NA,"SC_072712_261"
"SC",18,"7/28/12","217","wasp",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",6,1,"LCP","","",NA,"SC_072812_217"
"SC",19,"7/29/12","114","wasp","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","yarrow","Asteraceae","Achillea millefolium",7,1,"LCP","J.M. Carpenter","2013",NA,"SC_072912_114"
"PL",30,"8/9/12","415","blue","Lepidoptera","Lycaenidae","Leptotes","","marina","","","yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","L. Ponisio","2013","Reakirt","PL_080912_415"
"PL",30,"8/9/12","95","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","","",NA,"PL_080912_95"
"PL",30,"8/9/12","96","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","","",NA,"PL_080912_96"
