site,date,number,genID,finalPlantID
JC,71212,26,long tongued bee,Achillea millefolium
JC,71212,45,short tongued fly,Achillea millefolium
JC,71212,119,beetle,Achillea millefolium
JC,71412,111,short tongued fly,Achillea millefolium
JC,71412,112,short tongued fly,Achillea millefolium
JC,71412,153,short tongued bee,Achillea millefolium
JC,71412,154,short tongued fly,Achillea millefolium
JC,71412,155,short tongued fly,Achillea millefolium
JC,71412,156,short tongued fly,Achillea millefolium
JC,71512,75,short tongued fly,Achillea millefolium
JC,71512,76,short tongued fly,Achillea millefolium
JC,71512,128,beetle,Achillea millefolium
JC,71512,135,long tongued bee,Achillea millefolium
JC,71512,176,short tongued fly,Achillea millefolium
JC,71712,192,short tongued fly,Achillea millefolium
JC,71612,59,wasp,Achillea millefolium
JC,71612,67,short tongued fly,Achillea millefolium
JC,71612,80,short tongued fly,Achillea millefolium
JC,71612,123,long tongued bee,Achillea millefolium
JC,71612,137,short tongued fly,Achillea millefolium
JC,71612,138,short tongued fly,Achillea millefolium
JC,71612,155,moth,Achillea millefolium
JC,71712,27,short tongued fly,Achillea millefolium
JC,71712,57,long tongued bee,Achillea millefolium
JC,71712,81,short tongued fly,Achillea millefolium
JC,71712,85,beetle,Achillea millefolium
JC,71712,180,short tongued fly,Achillea millefolium
SC,72012,138,wasp,Achillea millefolium
SC,72012,139,short tongued fly,Achillea millefolium
SC,72012,140,wasp,Achillea millefolium
SC,72012,141,short tongued bee,Achillea millefolium
SC,72012,198,short tongued fly,Achillea millefolium
SC,72012,199,wasp,Achillea millefolium
SC,72112,46,short tongued fly,Achillea millefolium
SC,72612,131,short tongued fly,Achillea millefolium
SC,72712,47,wasp,Achillea millefolium
SC,72712,261,short tongued fly,Achillea millefolium
SC,72812,217,wasp,Achillea millefolium
SC,72912,114,wasp,Achillea millefolium
PL,80912,95,short tongued fly,Achillea millefolium
PL,80912,96,short tongued fly,Achillea millefolium
PL,80912,97,short tongued fly,Achillea millefolium
PL,80912,98,short tongued fly,Achillea millefolium
PL,80912,99,short tongued fly,Achillea millefolium
PL,80912,336,short tongued fly,Achillea millefolium
PL,80912,337,short tongued fly,Achillea millefolium
PL,80912,338,short tongued fly,Achillea millefolium
PL,80912,415,butterfly,Achillea millefolium
PL,81012,210,short tongued fly,Achillea millefolium
PL,81012,211,short tongued fly,Achillea millefolium
PL,81112,61,short tongued fly,Achillea millefolium
PL,81112,62,short tongued fly,Achillea millefolium
PL,81112,63,short tongued fly,Achillea millefolium
PL,81112,64,short tongued fly,Achillea millefolium
