"site","dos","date","number","genID","fieldPlantID","plantFamily","finalPlantID","samplingDay","samplingRound","collector","temp.id","order","family","genus","subgenus","species","subspecies","sex","determiner","dateDetermined","author"
"JC",2,"7/12/12","26","bee","yarrow","Asteraceae","Achillea millefolium",2,1,"HLS","JC_071212_26","Hymenoptera","Halictidae","Lasioglossum","Dialictus","aquilae","","f","J.S. Ascher","2013",""
"JC",2,"7/12/12","119","beetle","Achillea millefolium","Asteraceae","Achillea millefolium",2,1,"HLS","JC_071212_119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",2,"7/12/12","45","syrphid","yarrow","Asteraceae","Achillea millefolium",2,1,"LCP","JC_071212_45","Diptera","Syrphidae","Eristalis",NA,"stipator","","","M. Hauser","2013","Osten Sacken"
"JC",4,"7/14/12","153","sweat bee","Yarrow","Asteraceae","Achillea millefolium",3,2,"HLS","JC_071412_153","Hymenoptera","Halictidae","Agapostemen","","angelicus","","m","J.S. Ascher","2013","Cockerell"
"JC",4,"7/14/12","111","fly","yarrow","Asteraceae","Achillea millefolium",3,2,"LCP","JC_071412_111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",4,"7/14/12","112","fly","yarrow","Asteraceae","Achillea millefolium",3,2,"LCP","JC_071412_112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",4,"7/14/12","154","fly","Yarrow","Asteraceae","Achillea millefolium",3,2,"HLS","JC_071412_154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",4,"7/14/12","155","fly","Yarrow","Asteraceae","Achillea millefolium",3,2,"HLS","JC_071412_155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",4,"7/14/12","156","fly","Yarrow","Asteraceae","Achillea millefolium",3,2,"HLS","JC_071412_156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",5,"7/15/12","76","fly","yarrow","Asteraceae","Achillea millefolium",4,3,"LCP","JC_071512_76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",5,"7/15/12","128","beetle","yarrow","Asteraceae","Achillea millefolium",4,3,"HLS","JC_071512_128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",5,"7/15/12","135","bee","yarrow","Asteraceae","Achillea millefolium",4,3,"HLS","JC_071512_135","Hymenoptera","Vespidae","Stenodynerus","","toas","","","J. Carpenter","2013","Cresson"
"JC",5,"7/15/12","176","fly","yarrow","Asteraceae","Achillea millefolium",4,3,"HLS","JC_071512_176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",5,"7/15/12","192","fly","Achillea millefolium","Asteraceae","Achillea millefolium",4,3,"HLS","JC_071512_192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",5,"7/15/12","75","syrphid","yarrow","Asteraceae","Achillea millefolium",4,3,"LCP","JC_071512_75","Diptera","Syrphidae","Lejops",NA,"polygrammus","","","M. Hauser","2013","Loew"
"JC",6,"7/16/12","123","bumble bee","yarrow","Asteraceae","Achillea millefolium",5,4,"LCP","JC_071612_123","Hymenoptera","Apidae","Bombus","","bifarius","","f","R.W. Thorp","2013","Cresson"
"JC",6,"7/16/12","59","wasp","Yarrow","Asteraceae","Achillea millefolium",5,4,"HLS","JC_071612_59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",6,"7/16/12","67","fly","Yarrow","Asteraceae","Achillea millefolium",5,4,"HLS","JC_071612_67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",6,"7/16/12","80","fly","Yarrow","Asteraceae","Achillea millefolium",5,4,"LCP","JC_071612_80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",6,"7/16/12","137","fly","yarrow","Asteraceae","Achillea millefolium",5,4,"LCP","JC_071612_137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",6,"7/16/12","138","fly","yarrow","Asteraceae","Achillea millefolium",5,4,"LCP","JC_071612_138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",6,"7/16/12","155","moth","yarrow","Asteraceae","Achillea millefolium",5,4,"LCP","JC_071612_155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",7,"7/17/12","57","bee","yarrow","Asteraceae","Achillea millefolium",6,5,"LCP","JC_071712_57","Hymenoptera","Halictidae","Lasioglossum","Dialictus","laevissimum","","f","J.S. Ascher","2013","Smith"
"JC",7,"7/17/12","81","fly","yarrow","Asteraceae","Achillea millefolium",6,5,"LCP","JC_071712_81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",7,"7/17/12","85","beetle","yarrow","Asteraceae","Achillea millefolium",6,5,"LCP","JC_071712_85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",7,"7/17/12","27","syrphid","yarrow","Asteraceae","Achillea millefolium",6,5,"HLS","JC_071712_27","Diptera","Syrphidae","Eristalis",NA,"stipator","","","M. Hauser","2013","Osten Sacken"
"JC",7,"7/17/12","180","fly","yarrow","Asteraceae","Achillea millefolium",6,5,"LCP","JC_071712_180","Diptera","Syrphidae","Platycheirus",NA,"confusus","","","M. Hauser","2013","Curran"
"SC",10,"7/20/12","138","wasp","Yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","SC_072012_138","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","J. Carpenter","2013","Saussure"
"SC",10,"7/20/12","139","fly","Yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","SC_072012_139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",10,"7/20/12","140","wasp","Yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","SC_072012_140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",10,"7/20/12","141","small dark bee","Yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","SC_072012_141","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"SC",10,"7/20/12","198","fly","Yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","SC_072012_198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",10,"7/20/12","199","wasp","Yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","SC_072012_199","Hymenoptera","Vespidae","Ancistrocerus","","catskill","","","J. Carpenter","2013","Saussure"
"SC",11,"7/21/12","46","syrphid","Yarrow","Asteraceae","Achillea millefolium",2,2,"HLS","SC_072112_46","Diptera","Syrphidae","Eupeodes",NA,"volucris","","","M. Hauser","2013","Osten Sacken"
"SC",16,"7/26/12","131","fly","yarrow","Asteraceae","Achillea millefolium",4,3,"LCP","SC_072612_131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",17,"7/27/12","47","wasp","yarrow","Asteraceae","Achillea millefolium",5,4,"HLS","SC_072712_47","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","J. Carpenter","2013","Saussure"
"SC",17,"7/27/12","261","fly","yarrow","Asteraceae","Achillea millefolium",5,4,"HLS","SC_072712_261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",18,"7/28/12","217","wasp","yarrow","Asteraceae","Achillea millefolium",6,5,"LCP","SC_072812_217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",19,"7/29/12","114","wasp","yarrow","Asteraceae","Achillea millefolium",7,5,"LCP","SC_072912_114","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","J. Carpenter","2013","Saussure"
"PL",30,"8/9/12","415","blue","yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","PL_080912_415","Lepidoptera","Lycaenidae","Leptotes",NA,"marina","","","L.Ponisio","2013","Reakirt"
"PL",30,"8/9/12","95","fly","yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","PL_080912_95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",30,"8/9/12","96","fly","yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","PL_080912_96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",30,"8/9/12","97","fly","yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","PL_080912_97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",30,"8/9/12","98","fly","yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","PL_080912_98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",30,"8/9/12","99","fly","yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","PL_080912_99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",30,"8/9/12","336","fly","yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","PL_080912_336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",30,"8/9/12","337","fly","yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","PL_080912_337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",30,"8/9/12","338","fly","yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","PL_080912_338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",31,"8/10/12","210","fly","yarrow","Asteraceae","Achillea millefolium",2,2,"HLS","PL_081012_210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",31,"8/10/12","211","fly","yarrow","Asteraceae","Achillea millefolium",2,2,"HLS","PL_081012_211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","61","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"HLS","PL_081112_61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","62","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"HLS","PL_081112_62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","63","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"HLS","PL_081112_63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","64","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"HLS","PL_081112_64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","65","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"HLS","PL_081112_65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","66","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"HLS","PL_081112_66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","67","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"HLS","PL_081112_67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","68","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"HLS","PL_081112_68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","184","bombyliid","yarrow","Asteraceae","Achillea millefolium",3,3,"LCP","PL_081112_184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","185","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"LCP","PL_081112_185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","206","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"LCP","PL_081112_206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","207","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"LCP","PL_081112_207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","208","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"LCP","PL_081112_208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",32,"8/11/12","209","fly","yarrow","Asteraceae","Achillea millefolium",3,3,"LCP","PL_081112_209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",33,"8/12/12","181","fly","yarrow","Asteraceae","Achillea millefolium",4,4,"HLS","PL_081212_181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",33,"8/12/12","182","fly","yarrow","Asteraceae","Achillea millefolium",4,4,"HLS","PL_081212_182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",33,"8/12/12","183","fly","yarrow","Asteraceae","Achillea millefolium",4,4,"HLS","PL_081212_183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",33,"8/12/12","184","fly","yarrow","Asteraceae","Achillea millefolium",4,4,"HLS","PL_081212_184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",33,"8/12/12","185","fly","yarrow","Asteraceae","Achillea millefolium",4,4,"HLS","PL_081212_185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",33,"8/12/12","186","fly","yarrow","Asteraceae","Achillea millefolium",4,4,"HLS","PL_081212_186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",33,"8/12/12","187","fly","yarrow","Asteraceae","Achillea millefolium",4,4,"HLS","PL_081212_187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",33,"8/12/12","287","vanessa","yarrow","Asteraceae","Achillea millefolium",4,4,"HLS","PL_081212_287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",34,"8/13/12","114","fly","yarrow","Asteraceae","Achillea millefolium",5,5,"LCP","PL_081312_114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",34,"8/13/12","115","fly","yarrow","Asteraceae","Achillea millefolium",5,5,"LCP","PL_081312_115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",34,"8/13/12","116","fly","yarrow","Asteraceae","Achillea millefolium",5,5,"LCP","PL_081312_116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
