"Site","Year","SampleRound","GenusSpecies","Abundance","SpParasitismRate"
"CH",2012,1,"Agapostemon angelicus",1,NA
"CH",2012,1,"Allograpta exotica",1,NA
"CH",2012,1,"Allograpta obliqua",6,NA
"CH",2012,1,"Anthophora marginata",1,NA
"CH",2012,1,"Anthophora montana",4,NA
"CH",2012,1,"Anthophora urbana",1,NA
"CH",2012,1,"Apis mellifera",176,NA
"CH",2012,1,"Bombus sonorus",67,NA
"CH",2012,1,"Chrysotoxum sp. a",1,NA
"CH",2012,1,"Copestylum anna",2,NA
"CH",2012,1,"Copestylum apiciferum",1,NA
"CH",2012,1,"Copestylum haagi",1,NA
"CH",2012,1,"Copestylum lentum",1,NA
"CH",2012,1,"Copestylum violaceum",6,NA
"CH",2012,1,"Dieunomia nevadensis arizonensis",1,NA
"CH",2012,1,"Eristalis stipator",4,NA
"CH",2012,1,"Heterosarus bakeri",5,NA
"CH",2012,1,"Heterosarus neomexicanus",6,NA
"CH",2012,1,"Lasioglossum desertum",4,NA
"CH",2012,1,"Lasioglossum manitouellum",1,NA
"CH",2012,1,"Mallota sackeni",1,NA
"CH",2012,1,"Melissodes confusa",23,NA
"CH",2012,1,"Palpada mexicana",1,NA
"CH",2012,1,"Platycheirus stegnus",2,NA
"CH",2012,1,"Sphaerophoria sp. a",1,NA
"CH",2012,1,"Spilomyia kahli",1,NA
"CH",2012,1,"Syritta pipiens",1,NA
"CH",2012,1,"Syrphus opinator",1,NA
"CH",2012,1,"Syrphus ribesii",5,NA
"CH",2012,1,"Syrphus sonorensis",9,NA
"CH",2012,1,"Xylocopa californica arizonensis",3,NA
"CH",2017,1,"Agapostemon angelicus",2,NA
"CH",2017,1,"Anthophora californica",1,NA
"CH",2017,1,"Anthophora montana",1,NA
"CH",2017,1,"Anthophora urbana",3,NA
"CH",2017,1,"Ceratina nanula a",1,NA
"CH",2017,1,"Halictus ligatus",2,NA
"CH",2017,1,"Lasioglossum biclausum",3,NA
"CH",2017,1,"Lasioglossum comulum aff.",9,NA
"CH",2017,1,"Lasioglossum desertum",1,NA
"CH",2017,1,"Lasioglossum egregium",1,NA
"CH",2017,1,"Lasioglossum n. sp. (deludens MS)",12,NA
"CH",2017,1,"Lasioglossum obnubilum",1,NA
"CH",2017,1,"Lasioglossum ruidosense cf.",9,NA
"CH",2017,1,"Lasioglossum semicaeruleum",3,NA
"CH",2017,1,"Lasioglossum sp. 3",40,NA
"CH",2017,1,"Lasioglossum Z17",1,NA
"CH",2017,1,"Lasioglossum Z23",1,NA
"CH",2017,1,"Lithurgus apicalis",1,NA
"CH",2017,1,"Megachile frigida",5,NA
"CH",2017,1,"Megachile lippiae",9,NA
"CH",2017,1,"Megachile melanophaea rohweri",2,NA
"CH",2017,1,"Megachile mendica",1,NA
"CH",2017,1,"Megachile zapoteca",3,NA
"CH",2017,1,"Pseudoscaeva diversifasciata",1,NA
"CH",2017,1,"Sphecodes sp. a",3,NA
"CH",2017,1,"Sphecodes sp. b",8,NA
"CH",2017,1,"Xeromelecta californica",2,NA
"CH",2017,1,"Xylocopa californica arizonensis",1,NA
"CH",2017,2,"Anthophora montana",2,NA
"CH",2017,2,"Halictus ligatus",2,NA
"CH",2017,2,"Heterosarus bakeri",6,NA
"CH",2017,2,"Hylaeus personatellus",1,NA
"CH",2017,2,"Hylaeus wootoni",1,NA
"CH",2017,2,"Lasioglossum comulum aff.",1,NA
"CH",2017,2,"Lasioglossum mesillense",1,NA
"CH",2017,2,"Lasioglossum microlepoides",1,NA
"CH",2017,2,"Lasioglossum n. sp. (deludens MS)",1,NA
"CH",2017,2,"Lasioglossum obnubilum",1,NA
"CH",2017,2,"Lasioglossum semicaeruleum",2,NA
"CH",2017,2,"Sphecodes sp. b",1,NA
"CH",2017,2,"Toxomerus marginatus",1,NA
"CH",2017,3,"Apis mellifera",2,NA
"CH",2017,3,"Colletes compactus",21,NA
"CH",2017,3,"Colletes skinneri",5,NA
"CH",2017,3,"Colletes slevini",1,NA
"CH",2017,3,"Eristalis stipator",2,NA
"CH",2017,3,"Heriades crucifer",1,NA
"CH",2017,3,"Heterosarus bakeri",6,NA
"CH",2017,3,"Heterosarus neomexicanus",5,NA
"CH",2017,3,"Lasioglossum desertum",1,NA
"CH",2017,3,"Lasioglossum heterorhinum",1,NA
"CH",2017,3,"Lasioglossum manitouellum",1,NA
"CH",2017,3,"Lasioglossum obnubilum",1,NA
"CH",2017,3,"Lasioglossum ruidosense cf.",1,NA
"CH",2017,3,"Lasioglossum rupticristum",3,NA
"CH",2017,3,"Megachile fidelis",1,NA
"CH",2017,3,"Megachile parallela",1,NA
"CH",2017,3,"Megachile subexilis",1,NA
"CH",2017,3,"Melissodes confusa",3,NA
"CH",2017,3,"Triepeolus sp. a",2,NA
"CH",2017,3,"Xylocopa californica arizonensis",1,NA
"CH",2018,1,"Apis mellifera",6,0.5
"CH",2018,1,"Chrysotoxum sp. a",3,NA
"CH",2018,1,"Heterosarus neomexicanus",3,NA
"CH",2018,1,"Lasioglossum desertum",3,NA
"CH",2018,1,"Lasioglossum manitouellum",1,NA
"CH",2018,1,"Megachile zapoteca",1,NA
"CH",2018,1,"Triepeolus sp. a",5,NA
"CH",2018,2,"Bombus sonorus",1,1
"CH",2018,2,"Heterosarus neomexicanus",4,NA
"CH",2018,2,"Lasioglossum desertum",1,NA
"CH",2018,2,"Lasioglossum ruidosense cf.",1,NA
"CH",2018,2,"Megachile fidelis",1,NA
"CH",2018,2,"Megachile inimica sayi",1,NA
"CH",2018,2,"Megachile subexilis",1,NA
"CH",2018,2,"Nomada sp. d",2,NA
"CH",2018,2,"Protandrena sp. e",1,NA
"CH",2018,2,"Triepeolus sp. a",13,NA
"HM",2017,1,"Apis mellifera",2,NA
"HM",2017,1,"Belllardi bellardi",4,NA
"HM",2017,1,"Cheilosia sp. a",1,NA
"HM",2017,1,"Copestylum avidum",3,NA
"HM",2017,1,"Copestylum lentum",1,NA
"HM",2017,1,"Copestylum mexicana",7,NA
"HM",2017,1,"Copestylum violaceum",67,NA
"HM",2017,1,"Eristalis stipator",58,NA
"HM",2017,1,"Halictus ligatus",1,NA
"HM",2017,1,"Hoplitis producta",1,NA
"HM",2017,1,"Hylaeus annulatus",12,NA
"HM",2017,1,"Hylaeus wootoni",3,NA
"HM",2017,1,"Lapposyrphus lapponicus",1,NA
"HM",2017,1,"Lasioglossum desertum",3,NA
"HM",2017,1,"Lasioglossum hairy T1",1,NA
"HM",2017,1,"Lasioglossum obnubilum",1,NA
"HM",2017,1,"Lasioglossum pacatum/viridatulum",6,NA
"HM",2017,1,"Lasioglossum sisymbrii",1,NA
"HM",2017,1,"Megachile comata",2,NA
"HM",2017,1,"Megachile frigida",1,NA
"HM",2017,1,"Megachile inermis",9,NA
"HM",2017,1,"Megachile mellitarsis",1,NA
"HM",2017,1,"Megachile relativa",32,NA
"HM",2017,1,"Osmia montana montana",1,NA
"HM",2017,1,"Stelis elegans",1,NA
"HM",2017,1,"Syrphus opinator",2,NA
"HM",2017,1,"Syrphus ribesii",2,NA
"HM",2017,2,"Agapostemon angelicus",2,NA
"HM",2017,2,"Apis mellifera",2,NA
"HM",2017,2,"Belllardi bellardi",7,NA
"HM",2017,2,"Bombus centralis",1,NA
"HM",2017,2,"Bombus fervidus",1,NA
"HM",2017,2,"Bombus huntii",24,NA
"HM",2017,2,"Bombus morrisoni",2,NA
"HM",2017,2,"Copestylum avidum",1,NA
"HM",2017,2,"Copestylum lentum",1,NA
"HM",2017,2,"Copestylum mexicana",1,NA
"HM",2017,2,"Copestylum violaceum",73,NA
"HM",2017,2,"Eristalis stipator",34,NA
"HM",2017,2,"Eupeodes volucris",1,NA
"HM",2017,2,"Halictus ligatus",3,NA
"HM",2017,2,"Heterosarus bakeri",3,NA
"HM",2017,2,"Hylaeus annulatus",1,NA
"HM",2017,2,"Hylaeus wootoni",1,NA
"HM",2017,2,"Lasioglossum aquilae",11,NA
"HM",2017,2,"Lasioglossum hairy T1",1,NA
"HM",2017,2,"Lasioglossum obnubilum",1,NA
"HM",2017,2,"Lasioglossum pacatum aff.",1,NA
"HM",2017,2,"Lasioglossum pacatum/viridatulum",12,NA
"HM",2017,2,"Lasioglossum ruidosense cf.",2,NA
"HM",2017,2,"Lasioglossum semicaeruleum",1,NA
"HM",2017,2,"Lasioglossum trizonatum",1,NA
"HM",2017,2,"Melissodes tristis",2,NA
"HM",2017,2,"Pseudopanurgus atricornis",5,NA
"HM",2017,2,"Pseudoscaeva diversifasciata",1,NA
"HM",2017,2,"Syrphus ribesii",1,NA
"HM",2017,3,"Andrena apacheorum",1,NA
"HM",2017,3,"Anthophora terminalis",2,NA
"HM",2017,3,"Apis mellifera",3,NA
"HM",2017,3,"Belllardi bellardi",15,NA
"HM",2017,3,"Bombus centralis",12,NA
"HM",2017,3,"Bombus fervidus",2,NA
"HM",2017,3,"Bombus morrisoni",2,NA
"HM",2017,3,"Copestylum satur",1,NA
"HM",2017,3,"Copestylum violaceum",92,NA
"HM",2017,3,"Dasysyrphus sp. a",2,NA
"HM",2017,3,"Diadasia diminuta",1,NA
"HM",2017,3,"Dufourea maura",3,NA
"HM",2017,3,"Eristalis stipator",13,NA
"HM",2017,3,"Halictus ligatus",11,NA
"HM",2017,3,"Heterosarus bakeri",12,NA
"HM",2017,3,"Heterosarus neomexicanus",1,NA
"HM",2017,3,"Hylaeus annulatus",6,NA
"HM",2017,3,"Hylaeus wootoni",11,NA
"HM",2017,3,"Lasioglossum aquilae",8,NA
"HM",2017,3,"Lasioglossum hairy T1",1,NA
"HM",2017,3,"Lasioglossum M2",1,NA
"HM",2017,3,"Lasioglossum obnubilum",2,NA
"HM",2017,3,"Lasioglossum pacatum/viridatulum",23,NA
"HM",2017,3,"Lasioglossum ruidosense cf.",5,NA
"HM",2017,3,"Lasioglossum semicaeruleum",1,NA
"HM",2017,3,"Lasioglossum sp. 5",1,NA
"HM",2017,3,"Lasioglossum trizonatum",1,NA
"HM",2017,3,"Megachile comata",1,NA
"HM",2017,3,"Megachile fidelis",1,NA
"HM",2017,3,"Megachile frigida",5,NA
"HM",2017,3,"Megachile mellitarsis",1,NA
"HM",2017,3,"Megachile relativa",1,NA
"HM",2017,3,"Melissodes confusa",1,NA
"HM",2017,3,"Melissodes tristis",1,NA
"HM",2017,3,"Pseudopanurgus atricornis",17,NA
"HM",2017,3,"Syrphus ribesii",2,NA
"HM",2018,1,"Agapostemon angelicus",1,NA
"HM",2018,1,"Andrena apacheorum",2,NA
"HM",2018,1,"Anthophora terminalis",2,0
"HM",2018,1,"Apis mellifera",25,0.24
"HM",2018,1,"Belllardi bellardi",2,NA
"HM",2018,1,"Bombus centralis",7,0.428571428571429
