"Site","Year","SampleRound","GenusSpecies","Abundance","SpParasitismRate"
"CH",2012,1,"Agapostemon angelicus",1,NA
"CH",2012,1,"Allograpta exotica",1,NA
"CH",2012,1,"Allograpta obliqua",6,NA
"CH",2012,1,"Anthophora marginata",1,NA
"CH",2012,1,"Anthophora montana",4,NA
"CH",2012,1,"Anthophora urbana",1,NA
"CH",2012,1,"Apis mellifera",176,NA
"CH",2012,1,"Bombus sonorus",66,NA
"CH",2012,1,"Chrysotoxum sp. a",1,NA
"CH",2012,1,"Copestylum anna",2,NA
"CH",2012,1,"Copestylum apiciferum",1,NA
"CH",2012,1,"Copestylum haagii",1,NA
"CH",2012,1,"Copestylum lentum",1,NA
"CH",2012,1,"Copestylum violaceum",6,NA
"CH",2012,1,"Dieunomia nevadensis arizonensis",1,NA
"CH",2012,1,"Eristalis stipator",4,NA
"CH",2012,1,"Lasioglossum desertum",4,NA
"CH",2012,1,"Lasioglossum manitouellum",1,NA
"CH",2012,1,"Mallota sackeni",1,NA
"CH",2012,1,"Melissodes confusus",23,NA
"CH",2012,1,"Palpada mexicana",1,NA
"CH",2012,1,"Platycheirus stegnus",2,NA
"CH",2012,1,"Sphaerophoria sp. a",1,NA
"CH",2012,1,"Spilomyia kahli",1,NA
"CH",2012,1,"Syritta pipiens",1,NA
"CH",2012,1,"Syrphus opinator",1,NA
"CH",2012,1,"Syrphus ribesii",5,NA
"CH",2012,1,"Syrphus sonorensis",9,NA
"CH",2012,1,"Xylocopa californica arizonensis",3,NA
"CH",2017,1,"Agapostemon angelicus",4,NA
"CH",2017,1,"Anthophora californica",1,NA
"CH",2017,1,"Anthophora montana",7,NA
"CH",2017,1,"Anthophora urbana",4,NA
"CH",2017,1,"Brachymelecta californica",1,NA
"CH",2017,1,"Ceratina nanula",3,NA
"CH",2017,1,"Halictus ligatus",4,NA
"CH",2017,1,"Halictus tripartitus",5,NA
"CH",2017,1,"Lasioglossum Z17",1,NA
"CH",2017,1,"Lasioglossum Z23",1,NA
"CH",2017,1,"Lasioglossum aff. perparvum",14,NA
"CH",2017,1,"Lasioglossum biclausum",3,NA
"CH",2017,1,"Lasioglossum comulum aff.",10,NA
"CH",2017,1,"Lasioglossum deludens",32,NA
"CH",2017,1,"Lasioglossum desertum",2,NA
"CH",2017,1,"Lasioglossum egregium",3,NA
"CH",2017,1,"Lasioglossum hairy T1",1,NA
"CH",2017,1,"Lasioglossum heterorhinum",1,NA
"CH",2017,1,"Lasioglossum microlepoides",1,NA
"CH",2017,1,"Lasioglossum obnubilum",7,NA
"CH",2017,1,"Lasioglossum pacatum/viridatulum",1,NA
"CH",2017,1,"Lasioglossum ruidosense",5,NA
"CH",2017,1,"Lasioglossum ruidosense cf.",10,NA
"CH",2017,1,"Lasioglossum semicaeruleum",5,NA
"CH",2017,1,"Lasioglossum sisymbrii",1,NA
"CH",2017,1,"Lasioglossum sp. 3",40,NA
"CH",2017,1,"Lithurgopsis apicalis",1,NA
"CH",2017,1,"Megachile agustini",2,NA
"CH",2017,1,"Megachile frigida",5,NA
"CH",2017,1,"Megachile lippiae",9,NA
"CH",2017,1,"Megachile melanophaea rohweri",3,NA
"CH",2017,1,"Megachile mendica",1,NA
"CH",2017,1,"Megachile zapoteca",3,NA
"CH",2017,1,"Melissodes gilensis",1,NA
"CH",2017,1,"Melissodes tristis",1,NA
"CH",2017,1,"Pseudoscaeva diversifasciata",1,NA
"CH",2017,1,"Sphecodes sp. a",4,NA
"CH",2017,1,"Sphecodes sp. b",10,NA
"CH",2017,1,"Triepeolus sp. a",1,NA
"CH",2017,1,"Xeromelecta californica",1,NA
"CH",2017,1,"Xylocopa californica arizonensis",1,NA
"CH",2017,2,"Agapostemon angelicus",2,NA
"CH",2017,2,"Anthophora montana",2,NA
"CH",2017,2,"Apis mellifera",1,NA
"CH",2017,2,"Augochlorella sp. a",2,NA
"CH",2017,2,"Diadasia ochracea",1,NA
"CH",2017,2,"Halictus ligatus",2,NA
"CH",2017,2,"Halictus tripartitus",4,NA
"CH",2017,2,"Hylaeus mesillae",2,NA
"CH",2017,2,"Hylaeus personatellus",1,NA
"CH",2017,2,"Hylaeus wootoni",1,NA
"CH",2017,2,"Lasioglossum aff. perparvum",1,NA
"CH",2017,2,"Lasioglossum comulum aff.",1,NA
"CH",2017,2,"Lasioglossum deludens",31,NA
"CH",2017,2,"Lasioglossum mesillense",1,NA
"CH",2017,2,"Lasioglossum microlepoides",1,NA
"CH",2017,2,"Lasioglossum obnubilum",4,NA
"CH",2017,2,"Lasioglossum ruidosense",3,NA
"CH",2017,2,"Lasioglossum semicaeruleum",4,NA
"CH",2017,2,"Megachile petulans",1,NA
"CH",2017,2,"Megachile policaris",1,NA
"CH",2017,2,"Megachile zapoteca",1,NA
"CH",2017,2,"Melissodes confusus",1,NA
"CH",2017,2,"Melissodes gilensis",6,NA
"CH",2017,2,"Melissodes tristis",2,NA
"CH",2017,2,"Paragus haemorrhous",1,NA
"CH",2017,2,"Sphecodes sp. a",1,NA
"CH",2017,2,"Sphecodes sp. b",3,NA
"CH",2017,2,"Toxomerus marginatus",4,NA
"CH",2017,3,"Anthophora urbana",2,NA
"CH",2017,3,"Anthophorula consobrina",1,NA
"CH",2017,3,"Apis mellifera",2,NA
"CH",2017,3,"Ceratina nanula",1,NA
"CH",2017,3,"Colletes compactus",21,NA
"CH",2017,3,"Colletes skinneri",5,NA
"CH",2017,3,"Colletes slevini",1,NA
"CH",2017,3,"Eristalis stipator",2,NA
"CH",2017,3,"Halictus ligatus",1,NA
"CH",2017,3,"Heriades crucifera",1,NA
"CH",2017,3,"Hylaeus mesillae",1,NA
"CH",2017,3,"Hylaeus wootoni",1,NA
"CH",2017,3,"Lasioglossum desertum",1,NA
"CH",2017,3,"Lasioglossum heterorhinum",3,NA
"CH",2017,3,"Lasioglossum manitouellum",1,NA
"CH",2017,3,"Lasioglossum obnubilum",1,NA
"CH",2017,3,"Lasioglossum pacatum/viridatulum",1,NA
"CH",2017,3,"Lasioglossum ruidosense cf.",1,NA
"CH",2017,3,"Lasioglossum rupticristum",3,NA
"CH",2017,3,"Lasioglossum semicaeruleum",1,NA
"CH",2017,3,"Megachile fidelis",1,NA
"CH",2017,3,"Megachile parallela",1,NA
"CH",2017,3,"Megachile subexilis",2,NA
"CH",2017,3,"Melissodes confusus",43,NA
"CH",2017,3,"Melissodes tristis",5,NA
"CH",2017,3,"Sphecodes sp. a",1,NA
"CH",2017,3,"Sphecodes sp. b",1,NA
"CH",2017,3,"Triepeolus sp. a",3,NA
"CH",2017,3,"Xylocopa californica arizonensis",1,NA
"CH",2017,NA,"Agapostemon angelicus",3,NA
"CH",2017,NA,"Anthophora urbana",1,NA
"CH",2017,NA,"Apis mellifera",1,NA
"CH",2017,NA,"Bombus rufocinctus",1,NA
"CH",2017,NA,"Diadasia australis",3,NA
"CH",2017,NA,"Diadasia diminuta",1,NA
"CH",2017,NA,"Diadasia ochracea",1,NA
"CH",2017,NA,"Halictus ligatus",2,NA
"CH",2017,NA,"Halictus tripartitus",2,NA
"CH",2017,NA,"Hylaeus mesillae",2,NA
"CH",2017,NA,"Lasioglossum deludens",11,NA
"CH",2017,NA,"Lasioglossum ruidosense",12,NA
"CH",2017,NA,"Lasioglossum semicaeruleum",1,NA
"CH",2017,NA,"Megachile agustini",1,NA
"CH",2017,NA,"Melissodes gilensis",1,NA
"CH",2017,NA,"Melissodes tristis",1,NA
"CH",2017,NA,"Sphecodes sp. a",1,NA
"CH",2017,NA,"Sphecodes sp. b",1,NA
"CH",2017,NA,"Toxomerus marginatus",2,NA
"CH",2018,1,"Apis mellifera",6,0.166666666666667
"CH",2018,1,"Chrysotoxum sp. a",3,NA
"CH",2018,1,"Colletes skinneri",1,NA
"CH",2018,1,"Lasioglossum desertum",3,NA
"CH",2018,1,"Lasioglossum manitouellum",1,NA
"CH",2018,1,"Megachile fidelis",1,NA
"CH",2018,1,"Megachile zapoteca",1,NA
"CH",2018,1,"Melissodes confusus",34,NA
"CH",2018,1,"Paranthidium jugatorium",1,NA
"CH",2018,1,"Scaeva affinis",1,NA
"CH",2018,1,"Svastra sila",1,NA
"CH",2018,1,"Triepeolus sp. a",5,NA
"CH",2018,2,"Agapostemon angelicus",1,NA
"CH",2018,2,"Bombus sonorus",1,0
"CH",2018,2,"Colletes compactus",13,NA
"CH",2018,2,"Lasioglossum desertum",1,NA
"CH",2018,2,"Lasioglossum ruidosense cf.",1,NA
"CH",2018,2,"Megachile fidelis",1,NA
"CH",2018,2,"Megachile inimica sayi",1,NA
"CH",2018,2,"Megachile subexilis",1,NA
"CH",2018,2,"Melissodes confusus",21,NA
"CH",2018,2,"Nomada sp. d",2,NA
"CH",2018,2,"Triepeolus sp. a",13,NA
"CH",2021,1,"Allograpta obliqua",3,NA
"CH",2021,1,"Anthidium maculosum",1,NA
"CH",2021,1,"Anthophora montana",3,NA
"CH",2021,1,"Anthophorula rufiventris",1,NA
"CH",2021,1,"Ceratina nanula",3,NA
"CH",2021,1,"Colletes skinneri",18,NA
"CH",2021,1,"Copestylum anna",3,NA
"CH",2021,1,"Copestylum haagii",1,NA
"CH",2021,1,"Copestylum violaceum",1,NA
"CH",2021,1,"Dufourea tinsleyi",18,NA
"CH",2021,1,"Eristalis stipator",5,NA
"CH",2021,1,"Halictus tripartitus",1,NA
"CH",2021,1,"Lasioglossum ruidosense",3,NA
"CH",2021,1,"Lasioglossum semicaeruleum",1,NA
"CH",2021,1,"Melissodes confusus",22,0.4375
"CH",2021,1,"Melissodes tristis",1,NA
"CH",2021,1,"Nomada sp. d",3,NA
"CH",2021,1,"Paranthidium jugatorium",1,NA
"CH",2021,1,"Toxomerus marginatus",9,NA
"CH",2021,1,"Triepeolus sp. a",12,NA
"CH",2022,1,"Apis mellifera",15,NA
"CH",2022,1,"Bombus sonorus",8,NA
"CH",2022,1,"Colletes eulophi",2,NA
"CH",2022,1,"Eristalis stipator",1,NA
"CH",2022,1,"Melissodes confusus",14,NA
"CH",2022,1,"Triepeolus sp. a",1,NA
"CH",2022,1,"Xylocopa californica arizonensis",1,NA
"HM",2017,1,"Agapostemon angelicus",3,NA
"HM",2017,1,"Anthophora californica",1,NA
"HM",2017,1,"Anthophora montana",1,NA
"HM",2017,1,"Apis mellifera",2,NA
"HM",2017,1,"Cheilosia sp. a",1,NA
"HM",2017,1,"Copestylum avidum",3,NA
"HM",2017,1,"Copestylum lentum",1,NA
"HM",2017,1,"Copestylum mexicanum",7,NA
"HM",2017,1,"Copestylum violaceum",67,NA
"HM",2017,1,"Diadasia ochracea",1,NA
"HM",2017,1,"Eristalis bellardii",4,NA
"HM",2017,1,"Eristalis stipator",58,NA
