"Order","Family","Genus","SubGenus","Species","SubSpecies","Author","PlantFamilies","PlantGenera","NestLocation","NestMaterial","NestConstruction","Lecty","LectyCitation","Sociality","HostPlant","MeanITD","GenusSpecies"
"Hymenoptera","Andrenidae","Andrena","Cnemidandrena","apacheorum","","Cockerell",3,7,"below-ground","soil","excavate","polylectic","Donovan 1977","solitary","",2.048,"Andrena apacheorum"
"Hymenoptera","Andrenidae","Andrena","Cnemidandrena","costillensis","","Viereck & Cockerell",1,8,"below-ground","soil","excavate","oligolectic","","solitary","Asteraceae (Moldenke & Neff; Donovan 1977)",1.8,"Andrena costillensis"
"Hymenoptera","Andrenidae","Andrena","Euandrena","segregans","","Cockerell",NA,NA,"below-ground","soil","excavate","","","solitary","",1.6,"Andrena segregans"
"Hymenoptera","Andrenidae","Andrena","Plastandrena","argemonis","","Cockerell",5,6,"below-ground","soil","excavate","polylectic","","solitary","polylectic (LaBerge & Bouseman",NA,"Andrena argemonis"
"Hymenoptera","Apidae","Anthophora","Anthophoroides","californica","","Cresson",28,65,"below-ground","soil","excavate","polylectic","","solitary","polylectic (Moldenke & Neff)",3.2,"Anthophora californica"
"Hymenoptera","Apidae","Anthophora","Anthophoroides","marginata","","Smith",2,2,"below-ground","soil","excavate","","","solitary","",3.7,"Anthophora marginata"
"Hymenoptera","Apidae","Anthophora","Clisodon","terminalis","","Cresson",21,32,"above-ground","rotten wood","excavate","polylectic","","solitary","polylectic (Moldenke & Neff)",3.26,"Anthophora terminalis"
"Hymenoptera","Apidae","Anthophora","Mystacanthophora","montana","","Cresson",17,25,"below-ground","soil","excavate","","","solitary","",3.72,"Anthophora montana"
"Hymenoptera","Apidae","Anthophora","Mystacanthophora","urbana","","Cresson",36,90,"below-ground","soil","excavate","polylectic","","solitary","polylectic (Moldenke & Neff)",3.132,"Anthophora urbana"
"Hymenoptera","Apidae","Apis","Apis","mellifera","","Linnaeus",45,135,"mixed","wax","construct","polylectic","","eusocial","",2.86,"Apis mellifera"
"Hymenoptera","Apidae","Bombus","Bombias","nevadensis","","Cresson",20,43,"mixed","rodent burrow, grass mats","construct","polylectic","","eusocial","",4.952,"Bombus nevadensis"
"Hymenoptera","Apidae","Bombus","Bombus","occidentalis","","Greene",27,61,"below-ground","rodent burrow","construct","polylectic","","eusocial","",4.2,"Bombus occidentalis"
"Hymenoptera","Apidae","Bombus","Cullumanobombus","morrisoni","","Cresson",28,57,"below-ground","rodent burrow","construct","polylectic","","eusocial","",4.428,"Bombus morrisoni"
"Hymenoptera","Apidae","Bombus","Cullumanobombus","rufocinctus","","Cresson",28,79,"above-ground","on or above surface","construct","polylectic","","eusocial","",3.14,"Bombus rufocinctus"
"Hymenoptera","Apidae","Bombus","Pyrobombus","bifarius","","Cresson",32,69,"mixed","rodent burrow, on surface, grass mat","construct","polylectic","","eusocial","",3.092,"Bombus bifarius"
"Hymenoptera","Apidae","Bombus","Pyrobombus","centralis","","Cresson",30,69,"below-ground","rodent burrow","construct","polylectic","","eusocial","",3.324,"Bombus centralis"
"Hymenoptera","Apidae","Bombus","Pyrobombus","flavifrons","","Cresson",27,71,"mixed","below ground or on surface","construct","polylectic","","eusocial","",3.272,"Bombus flavifrons"
