"Site","Year","SampleRound","MeanFloralAbundance","MeanFloralRichness","MeanFloralDiversity","MeanFloweringPlantDiversity","MeanFloweringPlantAbundance"
"CC","2017","0",0,0,0,0,0
"CH","2012","1",23.4,1.65,0.269277951730203,0.269277951730203,23.4
"CH","2017","0",0,0,0,0,0
"CH","2017","1",2.3,0.433333333333333,0.0251141425041163,0.0251141425041163,2.3
"CH","2017","2",12.3333333333333,0.366666666666667,0,0,0.666666666666667
"CH","2017","3",48.1666666666667,0.933333333333333,0.175420136017544,0.218790967335143,1.96666666666667
"CH","2017",NA,0,0,0,0,0
"CH","2018","1",46.3333333333333,1.13333333333333,0.206486533682287,0.27013503382724,2.53333333333333
"CH","2018","2",76,1.4,0.285116505438367,0.401978864905892,3.63333333333333
"CH","2021","1",33.7666666666667,0.9,0.100696673670552,0.1339207419847,6.1
"CH","2022","1",43.5,1.63333333333333,0.315320146006097,0.320984691519088,18.7
"HM","2017","0",0,0,0,0,0
"HM","2017","1",86.8333333333333,1.13333333333333,0.147803444437336,0.173913888657967,5.83333333333333
"HM","2017","2",162.166666666667,2.06666666666667,0.435593828765776,0.521474507418829,9.03333333333333
"HM","2017","3",60.1666666666667,2.43333333333333,0.619253573809659,0.734392040020571,5.26666666666667
"HM","2018","1",60.1666666666667,2.13333333333333,0.520553751772683,0.470297005727378,14.9666666666667
"HM","2018","2",67,2.6,0.602238446920495,0.700427433298165,7.93333333333333
"HM","2021","1",11.5666666666667,1.5,0.253508225773487,0.326797892329977,3.1
"HM","2021","2",10.1,1.06666666666667,0.155489351169938,0.243444023291985,1.4
"HM","2022","1",66.7666666666667,2.2,0.430413363722503,0.479679339976724,29
"JC","2012","1",25.5,3.1,0.713613201355141,0.713613201355141,25.5
"JC","2017","0",0,0,0,0,0
"JC","2017","1",17.1666666666667,1.33333333333333,0.341308988643192,0.283136710879524,8.63333333333333
"JC","2017","2",84.3333333333333,3.06666666666667,0.710262741493225,0.930145546020325,7.8
"JC","2017","3",50.3333333333333,1.66666666666667,0.378411693621719,0.357470681792108,9.73333333333333
"JC","2018","1",45.5,1.9,0.400819733334095,0.471419836411153,7.76666666666667
"JC","2018","2",38.6666666666667,2.33333333333333,0.595789425832337,0.670335766675401,5.66666666666667
"JC","2021","1",16.2,1.8,0.421756972208256,0.533123999853112,4.03333333333333
"JC","2021","2",14.2333333333333,1.73333333333333,0.390913744218825,0.459712259200496,3.8
"JM","2017","0",0,0,0,0,0
"MM","2012","1",37.55,2.75,0.595609417137431,0.595609417137431,37.55
"MM","2017","0",0,0,0,0,0
"MM","2017","1",21.1666666666667,1.2,0.215666153608159,0.245285552453337,2.73333333333333
"MM","2017","2",43,1.4,0.251047703397821,0.291047146738902,3.63333333333333
"MM","2017","3",72.1666666666667,2.13333333333333,0.490186797728286,0.597717807291584,4.66666666666667
"MM","2018","1",133.5,4.36666666666667,0.998338486700142,1.03134481156859,25.8666666666667
"MM","2018","2",92,2.36666666666667,0.560493906611497,0.627172425306395,6.56666666666667
"MM","2021","1",29.9666666666667,2,0.463232529828071,0.56801562902046,4.5
"MM","2021","2",18.6666666666667,1.96666666666667,0.41834266438571,0.542035551072614,3.96666666666667
"MM","2022","1",6.63333333333333,1,0.141143355594691,0.12386581756473,11.1333333333333
"PL","2012","1",16.5,1.5,0.31463276334511,0.31463276334511,16.5
"PL","2017","1",1,0.2,0,0,0
"PL","2018","1",42.1666666666667,1.2,0.181394990105229,0.256694481975722,3.26666666666667
"PL","2018","2",71.1666666666667,1.03333333333333,0.163275448027507,0.211830821260265,2.3
"PL","2021","1",6.3,0.466666666666667,0.00442304736132906,0.00475019557975793,1.53333333333333
"PL","2021","2",14.4,0.9,0.0990919528955113,0.117717904545707,1.33333333333333
"PL","2022","1",30.3,1.4,0.196576479749381,0.303156652467169,4.33333333333333
"RP","2017","1",0,0,0,0,0
"RP","2021","1",13.7666666666667,0.7,0.0742813067433898,0.100963769510219,1.23333333333333
"RP","2021","2",33.3333333333333,1.03333333333333,0.114554335837008,0.176391145505972,2.4
"RP","2022","1",46.0666666666667,1.46666666666667,0.211190464635598,0.338240379345441,4.56666666666667
"SC","2012","1",11.8,2.2,0.584198460942346,0.584198460942346,11.8
"SC","2017","0",0,0,0,0,0
"SC","2017","1",298.833333333333,1.83333333333333,0.250150550439335,0.435894599421488,7.6
"SC","2017","2",61,1.66666666666667,0.351182987606183,0.413962085206519,3.83333333333333
"SC","2017","3",51,2.1,0.46160775112198,0.571856906263228,6.3
"SC","2018","1",80.3333333333333,2.23333333333333,0.506697460882116,0.649292741836219,6.8
"SC","2018","2",21.5,1.3,0.283743161578857,0.297780450729513,2.33333333333333
"SC","2021","1",10.6666666666667,1.46666666666667,0.362700974000065,0.395258317164559,3.5
"SC","2021","2",12.4,2.2,0.509377400466393,0.599249213376948,4.8
"SC","2022","1",7.7,1.6,0.372368147964118,0.325901749580221,10.6666666666667
"SM","2017","1",172.166666666667,1.43333333333333,0.274833916143721,0.296342260037167,9.76666666666667
"SM","2018","1",64.6666666666667,3.2,0.692302948589692,0.72618731719785,13.6
"SM","2018","2",32,1.2,0.241281627213998,0.306430871742799,3.63333333333333
"SM","2021","1",9.63333333333333,1.06666666666667,0.151720747230392,0.176505776563477,3.9
"SM","2021","2",10.6666666666667,0.733333333333333,0.07850410307455,0.13485390196098,0.966666666666667
"SM","2022","1",15.3,1.63333333333333,0.3385786296169,0.365249752671,16.0333333333333
"SS","2017","1",103.833333333333,1.53333333333333,0.289967315936249,0.372583862432226,3.3
"UK","2017","1",32.3333333333333,0.766666666666667,0.0665188851939456,0.0574543637801646,13.2
