"Site","Year","TotalFloralRichness"
"CH","2012",11
"CH","2017",17
"CH","2018",19
"CH","2021",10
"CH","2022",16
"HM","2017",16
"HM","2018",20
"HM","2021",15
"HM","2022",15
"JC","2012",16
"JC","2017",19
"JC","2018",17
"JC","2021",18
"MM","2012",16
"MM","2017",23
"MM","2018",28
"MM","2021",21
"MM","2022",9
"PL","2012",14
"PL","2017",2
"PL","2018",16
"PL","2021",12
"PL","2022",14
"RP","2018",7
"RP","2021",15
"RP","2022",14
"SC","2012",11
"SC","2017",16
"SC","2018",18
"SC","2021",12
"SC","2022",13
"SM","2017",6
"SM","2018",21
"SM","2021",11
"SM","2022",15
"SS","2017",4
"UK","2017",4
"VC","2017",8
