"Site","PlantGenusSpecies"
"CH","Achillea millefolium"
"CH","Castilleja patriotica"
"CH","Cerastium nutans"
"CH","Cirsium arizonicum"
"CH","Commelina dianthifolia"
"CH","Cosmos parviflorus"
"CH","Dalea polygonoides"
"CH","Drymaria leptophylla"
"CH","Echeandia flavescens"
"CH","Erigeron divergens"
"CH","Erigeron flagellaris"
"CH","Gaura coccinea"
"CH","Glandularia bipinnatifida"
"CH","Helianthella parryi"
"CH","Heliomeris multiflora nevadensis"
"CH","Houstonia wrightii"
"CH","Hymenoxys hoopesii"
"CH","Ipomoea plummerae"
"CH","Iris missouriensis"
"CH","Linum neomexicanum"
"CH","Lupinus palmeri"
"CH","Mimulus guttatus"
"CH","Monarda citriodora austromontana"
"CH","Oenothera elata"
"CH","Oxalis alpina"
"CH","Pennellia longifolia"
"CH","Penstemon barbatus"
"CH","Psacalium decompositum"
"CH","Senecio eremophilus"
"CH","Stevia serrata"
"CH","Taraxacum officinale"
"CH","Trifolium pinetorum"
"CH","Verbascum thapsus"
"CH","Vicia americana"
"CH","Viguiera multiflora"
"HM","Achillea millefolium"
"HM","Agoseris glauca"
"HM","Arenaria lanuginosa"
"HM","Campanula rotundifolia"
"HM","Cirsium parryi"
"HM","Cymopterus lemmonii"
"HM","Drymaria leptophylla"
"HM","Erigeron arizonicus"
"HM","Erigeron flagellaris"
"HM","Erigeron speciosus"
"HM","Erigeron subtrinervis"
"HM","Erigeron tracyi"
"HM","Erysimum capitatum"
"HM","Gentiana affinis"
"HM","Gentiana parryi"
"HM","Geranium richardsonii"
"HM","Halenia recurva"
"HM","Heterotheca pumila"
"HM","Hymenoxys hoopesii"
"HM","Leucanthemum vulgare"
"HM","Linum lewisii"
"HM","Lupinus palmeri"
"HM","Oxalis alpina"
"HM","Oxalis decaphylla"
"HM","Pennellia longifolia"
"HM","Penstemon pseudoparvus"
"HM","Potentilla hippiana"
"HM","Taraxacum officinale"
"HM","Tragopogon pratensis"
"HM","Trifolium repens"
"HM","Verbascum thapsus"
"HM","Vicia americana"
"JC","Achillea millefolium"
"JC","Allium cernuum"
"JC","Allium geyeri"
"JC","Calochortus gunnisonii"
"JC","Campanula rotundifolia"
"JC","Castilleja miniata"
"JC","Cymopterus lemmonii"
"JC","Eremogone fendleri"
"JC","Erigeron flagellaris"
"JC","Erigeron formosissimus"
"JC","Erigeron speciosus"
"JC","Erigeron subtrinervis"
"JC","Erigeron tracyi"
"JC","Erodium cicutarium"
"JC","Erysimum capitatum"
"JC","Gentiana affinis"
"JC","Geranium caespitosum"
"JC","Hymenopappus newberryi"
"JC","Ipomopsis aggregata"
"JC","Iris missouriensis"
"JC","Linum lewisii"
"JC","Penstemon barbatus"
"JC","Potentilla fruticosa"
"JC","Potentilla hippiana"
"JC","Rudbeckia hirta"
"JC","Senecio eremophilus"
"JC","Taraxacum officinale"
"JC","Tragopogon pratensis"
"JC","Trifolium pinetorum"
"JC","Trifolium pratense"
"JC","Vicia americana"
"JC","Vicia pulchella"
"JC","Viguiera multiflora"
"MM","Achillea millefolium"
"MM","Agastache pallidiflora pallidiflora"
"MM","Agoseris glauca"
"MM","Allium cernuum"
"MM","Androsace chamaejasme"
"MM","Arenaria lanuginosa"
"MM","Campanula rotundifolia"
"MM","Castilleja austromontana"
"MM","Castilleja miniata"
"MM","Cerastium nutans"
"MM","Cirsium neomexicanum"
"MM","Commelina dianthifolia"
"MM","Corydalis aurea"
"MM","Cymopterus lemmonii"
"MM","Drymaria leptophylla"
"MM","Erigeron divergens"
"MM","Erigeron flagellaris"
"MM","Erigeron formosissimus"
"MM","Erigeron speciosus"
"MM","Erigeron subtrinervis"
"MM","Erigeron tracyi"
"MM","Erysimum capitatum"
"MM","Gentiana affinis"
"MM","Gentiana parryi"
"MM","Geranium caespitosum"
"MM","Geranium richardsonii"
"MM","Helianthus ciliaris"
"MM","Heterotheca pumila"
"MM","Hymenopappus newberryi"
"MM","Hymenoxys hoopesii"
"MM","Iris missouriensis"
"MM","Linum lewisii"
"MM","Lithospermum multiflorum"
"MM","Lupinus palmeri"
"MM","Mirabilis oblongifolia"
"MM","Monardella odoratissima"
"MM","Oenothera elata"
"MM","Pennellia longifolia"
"MM","Penstemon pinifolius"
"MM","Penstemon pseudoparvus"
"MM","Phacelia heterophylla"
"MM","Potentilla hippiana"
"MM","Silene scouleri pringlei"
"MM","Taraxacum officinale"
"MM","Tragopogon pratensis"
"MM","Verbascum thapsus"
"MM","Vicia pulchella"
"PL","Achillea millefolium"
"PL","Agastache pallidiflora neomexicana"
"PL","Allium cernuum"
"PL","Campanula rotundifolia"
"PL","Castilleja austromontana"
"PL","Cerastium nutans"
"PL","Cirsium arizonicum"
"PL","Cirsium parryi"
"PL","Cymopterus lemmonii"
"PL","Dodecatheon pulchellum"
"PL","Drymaria leptophylla"
"PL","Erysimum capitatum"
"PL","Gentiana parryi"
