"","key","site","date","number","genID","genSp","sex","fieldPlantID","finalPlantID","samplingDay","sampingRound","collector","determiner.x","dateDetermined","notes","uniqueID","genus_species","genus","family","determiner.y"
"1","Autochton_cellus","PL","081312","237","skipper","","","purple thistle","Cirsium arizonicum var. arizonicum",5,1,"HLS","","","","EMEC_SI_PL_081312_237","Autochton cellus ","Autochton","Hesperiidae","L.Ponisio"
"2","Battus_philenor","PL","081212","278","swallow tail","","","purple flower","Glandularia bipinnatifida",4,1,"HLS","","","","EMEC_SI_PL_081212_278","Battus philenor","Battus","Papilionidae","L.Ponisio"
"3","Battus_philenor","PL","081312","253","swallow tail","","","purple flower","Glandularia bipinnatifida",5,1,"LCP","","","","EMEC_SI_PL_081312_253","Battus philenor","Battus","Papilionidae","L.Ponisio"
"4","Battus_philenor","PL","081312","252","swallow tail","","","purple flower","Glandularia bipinnatifida",5,1,"LCP","","","","EMEC_SI_PL_081312_252","Battus philenor","Battus","Papilionidae","L.Ponisio"
"5","Battus_philenor","PL","081212","277","swallow tail","","","purple flower","Glandularia bipinnatifida",4,1,"HLS","","","","EMEC_SI_PL_081212_277","Battus philenor","Battus","Papilionidae","L.Ponisio"
"6","Battus_philenor","PL","081212","275","swallow tail","","","purple flower","Glandularia bipinnatifida",4,1,"HLS","","","","EMEC_SI_PL_081212_275","Battus philenor","Battus","Papilionidae","L.Ponisio"
"7","Battus_philenor","PL","081312","222","swallow tail","","","purple flower","Glandularia bipinnatifida",5,1,"HLS","","","","EMEC_SI_PL_081312_222","Battus philenor","Battus","Papilionidae","L.Ponisio"
"8","Battus_philenor","PL","081312","223","swallow tail","","","purple flower","Glandularia bipinnatifida",5,1,"HLS","","","","EMEC_SI_PL_081312_223","Battus philenor","Battus","Papilionidae","L.Ponisio"
"9","Battus_philenor","PL","081212","274","swallow tail","","","purple flower","Glandularia bipinnatifida",4,1,"HLS","","","","EMEC_SI_PL_081212_274","Battus philenor","Battus","Papilionidae","L.Ponisio"
"10","Battus_philenor","PL","081112","252","swallow tail","","","purple flower","Glandularia bipinnatifida",3,1,"LCP","","","","EMEC_SI_PL_081112_252","Battus philenor","Battus","Papilionidae","L.Ponisio"
"11","Battus_philenor","PL","081212","306","swallow tail","","","purple flower","Glandularia bipinnatifida",4,1,"LCP","","","","EMEC_SI_PL_081212_306","Battus philenor","Battus","Papilionidae","L.Ponisio"
"12","Battus_philenor","PL","081212","303","swallow tail","","","wall flower","Erysimum capitatum",4,1,"LCP","","","","EMEC_SI_PL_081212_303","Battus philenor","Battus","Papilionidae","L.Ponisio"
"13","Battus_philenor","PL","081312","224","swallow tail","","","purple flower","Glandularia bipinnatifida",5,1,"HLS","","","","EMEC_SI_PL_081312_224","Battus philenor","Battus","Papilionidae","L.Ponisio"
"14","Battus_philenor","PL","081212","307","swallow tail","","","purple flower","Glandularia bipinnatifida",4,1,"LCP","","","","EMEC_SI_PL_081212_307","Battus philenor","Battus","Papilionidae","L.Ponisio"
"15","Battus_philenor","PL","081212","304","swallow tail","","","purple flower","Glandularia bipinnatifida",4,1,"LCP","","","","EMEC_SI_PL_081212_304","Battus philenor","Battus","Papilionidae","L.Ponisio"
"16","Celastrina_argiolus_sp_ladon","MM","080312","213","blue","","","white pea","Vicia pulchella",4,1,"LCP","","","","EMEC_SI_MM_080312_213","Celastrina argiolu sp. ladon","Celastrina","Lycaenidae","L.Ponisio"
