findID,genus_species,genus,family,determiner
Vanessa_cardui,Vanessa cardui,Vanessa,Nymphalidae,L.Ponisio
Battus_philenor,Battus philenor,Battus,Papilionidae,L.Ponisio
Limenitis_bredowii,Limenitis bredowii,Limenitis,Nymphalidae,L.Ponisio
Colias_eurytheme,Colias eurytheme,Colias,Pieridae,L.Ponisio
Euptoierta_claudia,Euptoieta claudia,Euptoieta,Nymphalidae,L.Ponisio
Vanessa_carye_sp_annabella,Vanessa carye sp. annabella,Vanessa,Nymphalidae,L.Ponisio
Vanessa_atlanta,Vanessa atlanta,Vanessa,Nymphalidae,L.Ponisio
Vanessa_virginiensis,Vanessa virginiensis,Vanessa,Nymphalidae,L.Ponisio
Papilio_polyxenes,Papilio polyxenes,Papilio,Papilionidae,L.Ponisio
Pontia_protodice,Pontia Protodice,Pontia,Pieridae,L.Ponisio
Hesperia_pahaska,Hesperia pahaska,Hesperia,Hesperiidae,L.Ponisio
Hesperia_comma,Hesperia comma ,Hesperia,Hesperiidae,L.Ponisio
Nathalis_iole,Nathalis iole,Nathalis,Pieridae,L.Ponisio
Eurema_nicippe,Eurema nicippe,Eurema,Pieridae,L.Ponisio
Polygonia_gracilis,Polygonia gracilis,Polygonia,Nymphalidae,L.Ponisio
Plebejus_acmon,Plebejus acmon,Plebejus,Lycaenidae,L.Ponisio
Ministrymon_leda,Ministrymon leda,Ministrymon,Lycaenidae,L.Ponisio
Strymon_melinus,Strymon melinus, Strymon,Lycaenidae,L.Ponisio
Leptotes_marina,Leptotes marina ,Leptotes,Lycaenidae,L.Ponisio
Plebejus_glandon,Plebejus glandon,Plebejus,Lycaenidae,L.Ponisio
Celastrina_argiolus_sp_ladon,Celastrina argiolu sp. ladon,Celastrina,Lycaenidae,L.Ponisio
Phyciodes_tharos,Phyciodes tharos,Phyciodes,Nymphalidae,L.Ponisio
Pyrgus_commonis,Pyrgus commonis,Pyrgus,Hesperiidae,L.Ponisio
Ochlodes_snowi,Ochlodes snowi,Ochlodes,Hesperiidae,L.Ponisio
Autochton_cellus,Autochton cellus ,Autochton,Hesperiidae,L.Ponisio
Poanes_zabulon_sp_taxiles,Poanes zabulon sp. taxiles,Poanes,Hesperiidae,L.Ponisio
Epargyreus_clarus,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
Achalarus_casica,Achalarus casica,Achalarus,Hesperiidae,L.Ponisio
Papilio_multicaudata,Papilio multicaudata,Papilio,Papilionidae,L.Ponisio
Neophasia_menapia,Neophasia menapia,Neophasia,Pieridae,L.Ponisio
Libytheana_carinenta,Libytheana carinenta,Libytheana,Nymphalidae,L.Ponisio
Speyeria_mormonia,Speyeria mormonia ,Speyeria,Nymphalidae,L.Ponisio
Cercyonis_oetus,Cercyonis oetus ,Cercyonis,Nymphalidae,L.Ponisio
Coenonympha_tullia,Coenonympha tullia,Coenonympha,Nymphalidae,L.Ponisio
Hyles_lineata,Hyles lineata,Hyles,Sphingidae,L.Ponisio
Speyeria_atlantis,Speyeria atlantis,Speyeria,Nymphalidae,L.Ponisio
Texola_elada,Texola elada,Texola,Nymphalidae,L.Ponisio
Garisma_ganita,Garisma ganita,Garisma,Hesperiidae,L.Ponisio
Polites_draco,Polites draco,Polites,Hesperiidae,L.Ponisio
Hemigarus_isola,Hemigarus isola,Hemigarus,Lycaenidae,L.Ponisio
Hemigarus_ceraunus,Hemigarus ceraunus,Hemigarus,Lycaenidae,L.Ponisio
Atrytonopsis_sp1,Atrytonopsis morpho sp1,Atrytonopsis,Hesperiidae,L.Ponisio
Thorybes_pylades,Thorybes pylades,Thorybes,Hesperiidae,L.Ponisio
Erynnis_sp1,Erynnis morpho sp1,Erynnis,Hesperiidae,L.Ponisio
Erynnis_sp2,Erynnis morpho sp2,Erynnis,Hesperiidae,L.Ponisio
