species,sex,det,named by,year
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus sonorus,f,RW Thorp,Say,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,f,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
Bombus huntii ,m,RW Thorp,Greene,2013
