"genID","uniqueID","finalPlantID","collector","county","country","lat","long","state"
"carpenter bee","EMEC_SI_CH_082012_135","Glandularia bipinnatifida","HLS","Cochise","USA"," 31!55'2.68\"N","109!16'44.17\"W","Arizona"
"carpenter bee","EMEC_SI_CH_082112_84","Glandularia bipinnatifida","LCP","Cochise","USA"," 31!55'2.68\"N","109!16'44.17\"W","Arizona"
"carpenter bee","EMEC_SI_CH_082112_93","Monarda citriodora spp. austromontana","HLS","Cochise","USA"," 31!55'2.68\"N","109!16'44.17\"W","Arizona"
"carpenter bee","EMEC_SI_PL_081112_139","Cirsium parryi","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"carpenter bee","EMEC_SI_PL_081112_4","Cirsium parryi","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"carpenter bee","EMEC_SI_PL_080912_162","Hymenoxys hoopesii","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"carpenter bee","EMEC_SI_PL_080912_302","Glandularia bipinnatifida","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"carpenter bee","EMEC_SI_PL_081312_107","Glandularia bipinnatifida","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"carpenter bee","EMEC_SI_PL_081312_173","Cirsium parryi","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"carpenter bee","EMEC_SI_PL_081312_172","Cirsium parryi","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"carpenter bee","EMEC_SI_PL_081312_6","Cirsium parryi","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"carpenter bee","EMEC_SI_PL_081312_108","Glandularia bipinnatifida","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"carpenter bee","EMEC_SI_PL_081212_267","Cirsium parryi","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081312_17","Penstemon strictus","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081212_198","Glandularia bipinnatifida","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081212_268","Penstemon strictus","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081312_16","Penstemon strictus","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_CH_082012_114","Oenothera elata","HLS","Cochise","USA"," 31!55'2.68\"N","109!16'44.17\"W","Arizona"
"bee","EMEC_SI_CH_082112_114","Glandularia bipinnatifida","HLS","Cochise","USA"," 31!55'2.68\"N","109!16'44.17\"W","Arizona"
"bee","EMEC_SI_PL_081212_139","Penstemon strictus","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081212_44","Penstemon strictus","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081312_20","Penstemon strictus","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081312_14","Penstemon strictus","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081312_148","Penstemon strictus","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081212_1","Glandularia bipinnatifida","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081212_8","Mertensia ciliata","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081212_138","Penstemon strictus","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081212_40","Gentianopsis detonsa","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"bee","EMEC_SI_PL_081212_43","Penstemon strictus","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
