"uniqueID","finalPlantID","collector","county","country","lat","long","state"
"EMEC_SI_PL_081112_176","Campanula rotundifolia","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081112_129","Cirsium parryi","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081012_249","Cirsium parryi","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_MM_080112_214","Campanula rotundifolia","LCP","Socorro","USA"," 33!59'29.31\"N","107!11'1.23\"W","New Mexico"
"EMEC_SI_PL_081112_81","Campanula rotundifolia","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081012_81","Campanula rotundifolia","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081012_80","Campanula rotundifolia","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081112_80","Campanula rotundifolia","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081112_151","Cirsium parryi","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_080912_154","Erysimum capitatum","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_080912_114","Cirsium parryi","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081212_269","Campanula rotundifolia","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_MM_080212_304","Campanula rotundifolia","HLS","Socorro","USA"," 33!59'29.31\"N","107!11'1.23\"W","New Mexico"
"EMEC_SI_PL_081212_141","Campanula rotundifolia","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081312_165","Cirsium parryi","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081212_142","Campanula rotundifolia","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081212_9","Campanula rotundifolia","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081212_122","Prunella vulgaris","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081312_29","Prunella vulgaris","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_JC_071212_76","Hymenopappus newberryi","LCP","Santa Fe","USA"," 35!51'18.33\"N","105!38'26.07\"W","New Mexico"
"EMEC_SI_MM_080212_181","Vicia pulchella","HLS","Socorro","USA"," 33!59'29.31\"N","107!11'1.23\"W","New Mexico"
"EMEC_SI_MM_080412_100","Campanula rotundifolia","HLS","Socorro","USA"," 33!59'29.31\"N","107!11'1.23\"W","New Mexico"
"EMEC_SI_PL_081312_136","Campanula rotundifolia","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081212_11","Campanula rotundifolia","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081012_11","Cirsium parryi","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_PL_081212_121","Prunella vulgaris","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"EMEC_SI_MM_080312_193","Heterothece pumila","LCP","Socorro","USA"," 33!59'29.31\"N","107!11'1.23\"W","New Mexico"
"EMEC_SI_PL_081212_41","Gentianopsis detonsa","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
