genID,uniqueID,finalPlantID,collector,county,country,lat,long,state
fly,EMEC_SI_SC_072812_83,Potentilla hippiana,HLS,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072812_68,Solidago multiradiata,HLS,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072312_149,Solidago multiradiata,LCP,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072712_36,Erigeron subtrinervis,HLS,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072712_252,Holodiscus dumosus,LCP,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072912_115,Holodiscus dumosus,LCP,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072112_108,Solidago multiradiata,LCP,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072112_107,Solidago multiradiata,LCP,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072812_203,Mirabilis oblongifolia,LCP,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072812_16,Cymopterus lemmonii,HLS,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072312_275,Cymopterus lemmonii,LCP,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072812_39,Erigeron subtrinervis,HLS,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072312_284,Potentilla hippiana,LCP,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072712_126,Cymopterus lemmonii,LCP,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072812_95,Holodiscus dumosus,HLS,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072612_131,Achillea millefolium,LCP,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_CH_081812_17,Psacalium decompositum,HLS,Cochise,USA," 31° 55'2.68"" N","109° 16'44.17"" W",Arizona
fly,EMEC_SI_SC_072712_173,Erigeron subtrinervis,LCP,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_SC_072812_219,Linum lewisii,HLS,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
fly,EMEC_SI_CH_081812_6,Psacalium decompositum,LCP,Cochise,USA," 31° 55'2.68"" N","109° 16'44.17"" W",Arizona
fly,EMEC_SI_SC_072712_77,Potentilla hippiana,HLS,Bernalillo,USA," 35° 12'22.86"" N","106° 26'36.15"" W",New Mexico
