"genID","uniqueID","finalPlantID","collector","county","country","lat","long","state"
"hawk moth","EMEC_SI_CH_081812_7","Monarda citriodora spp. Austromontana","LCP","Cochise","USA"," 31!55'2.68\"N","109!16'44.17\"W","Arizona"
"hawk moth","EMEC_SI_PL_081312_266","Glandularia bipinnatifida","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"moth","EMEC_SI_PL_081212_254","Glandularia bipinnatifida","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"hawk moth","EMEC_SI_PL_081312_257","Glandularia bipinnatifida","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"hawk moth","EMEC_SI_PL_081312_258","Glandularia bipinnatifida","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"moth","EMEC_SI_PL_080912_341","Glandularia bipinnatifida","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"hawk moth","EMEC_SI_CH_082012_182B","Glandularia bipinnatifida","LCP","Cochise","USA"," 31!55'2.68\"N","109!16'44.17\"W","Arizona"
"moth","EMEC_SI_PL_080912_342","Glandularia bipinnatifida","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"moth","EMEC_SI_PL_080912_343","Glandularia bipinnatifida","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"moth","EMEC_SI_PL_081112_135","Glandularia bipinnatifida","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"hawk moth","EMEC_SI_PL_081312_260","Penstemon strictus","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"moth","EMEC_SI_PL_081212_254","Glandularia bipinnatifida","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"moth","EMEC_SI_PL_081212_253","Glandularia bipinnatifida","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"moth","EMEC_SI_PL_081112_134","Glandularia bipinnatifida","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"moth","EMEC_SI_PL_081212_256","Glandularia bipinnatifida","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"moth","EMEC_SI_PL_080912_347","Glandularia bipinnatifida","HLS","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
"moth","EMEC_SI_PL_081212_252","Glandularia bipinnatifida","LCP","Graham","USA"," 32!40'6.21\"N","109!52'39.51\"W","Arizona"
