site,date,number,finalPlantID,temp.id,meadow,mtn,forest,county,genus,subgenus,species
JC,71512,136,Erigeron subtrinervis,JC_071512_136,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,,
JC,71512,138,Erigeron subtrinervis,JC_071512_138,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,,
SC,72012,251,Erigeron subtrinervis,SC_072012_251,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,,
PL,81312,3,Cirsium parryi,PL_081312_3,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
CH,81912,4,Ipomoea  plummerae,CH_081912_4,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
PL,81012,6,Cirsium parryi,PL_081012_6,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81112,8,Cirsium parryi,PL_081112_8,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81312,8,Cirsium parryi,PL_081312_8,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
CH,81912,8,Heliomeris multiflora var. nevadensis,CH_081912_8,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
JC,71212,9,Erigeron subtrinervis,JC_071212_9,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,confusa
PL,81312,10,Cirsium parryi,PL_081312_10,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,13,Cirsium parryi,PL_081212_13,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81112,15,Cirsium parryi,PL_081112_15,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
CH,81912,16,Hymenoxys hoopesii,CH_081912_16,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
PL,81012,17,Cirsium parryi,PL_081012_17,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,17,Cirsium parryi,PL_081212_17,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81112,19,Cirsium parryi,PL_081112_19,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81112,20,Cirsium parryi,PL_081112_20,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,22,Cirsium parryi,PL_081212_22,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
CH,82012,22,Heliomeris multiflora var. nevadensis,CH_082012_22,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
JC,71112,23,Erigeron subtrinervis,JC_071112_23,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,confusa
CH,82012,25,Heliomeris multiflora var. nevadensis,CH_082012_25,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
PL,81112,33,Cirsium parryi,PL_081112_33,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
