uniqueID,finalPlantID,collector,county,country,lat,long,state
EMEC_SI_JC_071612_2,Hymenopappus newberryi,HLS,Santa Fe,USA," 35!51'18.33\N""","105!38'26.07\W""",New Mexico
EMEC_SI_MM_080212_324,Erysimum capitatum,LCP,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_PL_080912_353,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081212_281,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_283,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081212_300,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_266,Cirsium parryi,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_261,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_262,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_282,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_284,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_287,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081212_299,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_284B,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_283B,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081212_284,Cirsium parryi,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_5,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_080912_395,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_080912_397,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_3,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_MM_073112_125,Erysimum capitatum,HLS,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_MM_073112_124,Erysimum capitatum,HLS,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_MM_080212_224,Heterothece pumila,HLS,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_MM_073112_123,Erysimum capitatum,HLS,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_MM_073112_130,Erysimum capitatum,LCP,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_MM_080212_325,Erysimum capitatum,LCP,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_MM_080412_250,Monardella odoratissima,LCP,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_MM_080112_240,Erysimum capitatum,HLS,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_PL_081312_291,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_CH_082012_184,Glandularia bipinnatifida,LCP,Cochise,USA," 31!55'2.68\N""","109!16'44.17\W""",Arizona
EMEC_SI_PL_081312_280,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_CH_082012_183,Glandularia bipinnatifida,LCP,Cochise,USA," 31!55'2.68\N""","109!16'44.17\W""",Arizona
EMEC_SI_PL_081312_228,Cirsium parryi,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_080912_371,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_080912_410,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_080912_378,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_080912_396,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_CH_082012_194,Glandularia bipinnatifida,HLS,Cochise,USA," 31!55'2.68\N""","109!16'44.17\W""",Arizona
EMEC_SI_PL_080912_351,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_CH_082012_188,Glandularia bipinnatifida,LCP,Cochise,USA," 31!55'2.68\N""","109!16'44.17\W""",Arizona
EMEC_SI_MM_080312_211,Monardella odoratissima,HLS,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_MM_080212_333,Erysimum capitatum,HLS,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_MM_080212_332,Erysimum capitatum,HLS,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_MM_080212_338,Erysimum capitatum,HLS,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_MM_080412_246,Erysimum capitatum,HLS,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_PL_081012_318,Cirsium parryi,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081312_290,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081312_239,Hymenoxys hoopesii,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_338,Hymenoxys hoopesii,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_CH_081812_21,Glandularia bipinnatifida,HLS,Cochise,USA," 31!55'2.68\N""","109!16'44.17\W""",Arizona
EMEC_SI_PL_081312_294,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_341,Cirsium parryi,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_CH_082012_187,Heliomeris multiflora var. nevadensis,LCP,Cochise,USA," 31!55'2.68\N""","109!16'44.17\W""",Arizona
EMEC_SI_PL_081312_292,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_4,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_080912_398,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081312_234,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081312_235,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_323,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_321,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_322,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_080912_427,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081312_227,Cirsium parryi,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081312_286,Cirsium arizonicum var. arizonicum,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081312_284,Cirsium arizonicum var. arizonicum,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_342,Cirsium parryi,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_MM_080112_126,Vicia pulchella,LCP,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_PL_081012_329,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_MM_080112_249,Erysimum capitatum,LCP,Socorro,USA," 33!59'29.31\N""","107!11'1.23\W""",New Mexico
EMEC_SI_PL_081012_330,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_326,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_328,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081012_327,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_260,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081312_232,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081212_305,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_JC_071612_6,Hymenopappus newberryi,HLS,Santa Fe,USA," 35!51'18.33\N""","105!38'26.07\W""",New Mexico
EMEC_SI_PL_081212_282,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081212_283,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_258,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_JC_071412_23,Hymenopappus newberryi,LCP,Santa Fe,USA," 35!51'18.33\N""","105!38'26.07\W""",New Mexico
EMEC_SI_PL_081312_233,Glandularia bipinnatifida,HLS,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081112_259,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_PL_081212_310,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_CH_082012_193,Glandularia bipinnatifida,HLS,Cochise,USA," 31!55'2.68\N""","109!16'44.17\W""",Arizona
EMEC_SI_CH_082112_188,Heliomeris multiflora var. nevadensis,HLS,Cochise,USA," 31!55'2.68\N""","109!16'44.17\W""",Arizona
EMEC_SI_PL_081112_257B,Glandularia bipinnatifida,LCP,Graham,USA," 32!40'6.21\N""","109!52'39.51\W""",Arizona
EMEC_SI_CH_082112_203,Monarda citriodora spp. austromontana,LCP,Cochise,USA," 31!55'2.68\N""","109!16'44.17\W""",Arizona
EMEC_SI_CH_081912_18,Glandularia bipinnatifida,HLS,Cochise,USA," 31!55'2.68\N""","109!16'44.17\W""",Arizona
EMEC_SI_CH_082112_198,Heliomeris multiflora var. nevadensis,HLS,Cochise,USA," 31!55'2.68\N""","109!16'44.17\W""",Arizona
