,key,site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,determiner.x,dateDetermined,notes,uniqueID,genus_species,genus,family,determiner.y
1,Achalarus_casica,PL,81312,244,skipper,,,purple flower,Glandularia bipinnatifida,5,1,HLS,,,,EMEC_SI_PL_081312_244,Achalarus casica,Achalarus,Hesperiidae,L.Ponisio
2,Achalarus_casica,PL,81312,277,skipper,,,purple flower,Glandularia bipinnatifida,5,1,LCP,,,,EMEC_SI_PL_081312_277,Achalarus casica,Achalarus,Hesperiidae,L.Ponisio
3,Achalarus_casica,PL,81312,285,skipper,,,purple thistle,Cirsium arizonicum var. arizonicum,5,1,LCP,,,,EMEC_SI_PL_081312_285,Achalarus casica,Achalarus,Hesperiidae,L.Ponisio
4,Atrytonopsis_sp1,JC,71412,29,skipper,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,,EMEC_SI_JC_071412_29,Atrytonopsis morpho sp1,Atrytonopsis,Hesperiidae,L.Ponisio
5,Autochton_cellus,PL,81312,237,skipper,,,purple thistle,Cirsium arizonicum var. arizonicum,5,1,HLS,,,,EMEC_SI_PL_081312_237,Autochton cellus ,Autochton,Hesperiidae,L.Ponisio
6,Battus_philenor,PL,81212,274,swallowtail,,,purple flower,Glandularia bipinnatifida,4,1,HLS,,,,EMEC_SI_PL_081212_274,Battus philenor,Battus,Papilionidae,L.Ponisio
7,Battus_philenor,PL,81212,278,swallowtail,,,purple flower,Glandularia bipinnatifida,4,1,HLS,,,,EMEC_SI_PL_081212_278,Battus philenor,Battus,Papilionidae,L.Ponisio
8,Battus_philenor,PL,81312,223,swallowtail,,,purple flower,Glandularia bipinnatifida,5,1,HLS,,,,EMEC_SI_PL_081312_223,Battus philenor,Battus,Papilionidae,L.Ponisio
9,Battus_philenor,PL,81312,253,swallowtail,,,purple flower,Glandularia bipinnatifida,5,1,LCP,,,,EMEC_SI_PL_081312_253,Battus philenor,Battus,Papilionidae,L.Ponisio
10,Battus_philenor,PL,81212,275,swallowtail,,,purple flower,Glandularia bipinnatifida,4,1,HLS,,,,EMEC_SI_PL_081212_275,Battus philenor,Battus,Papilionidae,L.Ponisio
11,Battus_philenor,PL,81312,252,swallowtail,,,purple flower,Glandularia bipinnatifida,5,1,LCP,,,,EMEC_SI_PL_081312_252,Battus philenor,Battus,Papilionidae,L.Ponisio
12,Battus_philenor,PL,81212,277,swallowtail,,,purple flower,Glandularia bipinnatifida,4,1,HLS,,,,EMEC_SI_PL_081212_277,Battus philenor,Battus,Papilionidae,L.Ponisio
13,Battus_philenor,PL,81212,303,swallowtail,,,wall flower,Erysimum capitatum,4,1,LCP,,,,EMEC_SI_PL_081212_303,Battus philenor,Battus,Papilionidae,L.Ponisio
14,Battus_philenor,PL,81112,252,swallowtail,,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,,EMEC_SI_PL_081112_252,Battus philenor,Battus,Papilionidae,L.Ponisio
15,Battus_philenor,PL,81312,222,swallowtail,,,purple flower,Glandularia bipinnatifida,5,1,HLS,,,,EMEC_SI_PL_081312_222,Battus philenor,Battus,Papilionidae,L.Ponisio
16,Battus_philenor,PL,81212,304,swallowtail,,,purple flower,Glandularia bipinnatifida,4,1,LCP,,,,EMEC_SI_PL_081212_304,Battus philenor,Battus,Papilionidae,L.Ponisio
17,Battus_philenor,PL,81312,224,swallowtail,,,purple flower,Glandularia bipinnatifida,5,1,HLS,,,,EMEC_SI_PL_081312_224,Battus philenor,Battus,Papilionidae,L.Ponisio
18,Battus_philenor,PL,81212,306,swallowtail,,,purple flower,Glandularia bipinnatifida,4,1,LCP,,,,EMEC_SI_PL_081212_306,Battus philenor,Battus,Papilionidae,L.Ponisio
19,Battus_philenor,PL,81212,307,swallowtail,,,purple flower,Glandularia bipinnatifida,4,1,LCP,,,,EMEC_SI_PL_081212_307,Battus philenor,Battus,Papilionidae,L.Ponisio
20,Celastrina_argiolus_sp_ladon,MM,80312,213,blue,,,white pea,Vicia pulchella,4,1,LCP,,,,EMEC_SI_MM_080312_213,Celastrina argiolu sp. ladon,Celastrina,Lycaenidae,L.Ponisio
21,Celastrina_argiolus_sp_ladon,PL,81212,289,blue,,,purple flower,Glandularia bipinnatifida,4,1,LCP,,,,EMEC_SI_PL_081212_289,Celastrina argiolu sp. ladon,Celastrina,Lycaenidae,L.Ponisio
22,Cercyonis_oetus,JC,71512,19,satyrid,Cercyonis oetus,m,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,,EMEC_SI_JC_071512_19,Cercyonis oetus ,Cercyonis,Nymphalidae,L.Ponisio
23,Coenonympha_tullia,JC,71712,9,satyrid,Coenonympha tullia,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,,EMEC_SI_JC_071712_9,Coenonympha tullia,Coenonympha,Nymphalidae,L.Ponisio
24,Coenonympha_tullia,JC,71612,1,satyridae,Coenonympha tullia,,white aster,Hymenopappus newberryi,5,1,HLS,,,,EMEC_SI_JC_071612_1,Coenonympha tullia,Coenonympha,Nymphalidae,L.Ponisio
25,Colias_eurytheme,PL,81112,273,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,3,1,HLS,,,,EMEC_SI_PL_081112_273,Colias eurytheme,Colias,Pieridae,L.Ponisio
26,Colias_eurytheme,SC,72712,263,sulfur,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,,EMEC_SI_SC_072712_263,Colias eurytheme,Colias,Pieridae,L.Ponisio
27,Colias_eurytheme,PL,81212,294,sulfur,Colias eurytheme,,orange dandilion,Agoseris aurantica,4,1,LCP,,,,EMEC_SI_PL_081212_294,Colias eurytheme,Colias,Pieridae,L.Ponisio
28,Colias_eurytheme,PL,80912,383,sulfur,Colias eurytheme,,big yellow aster,Hymenoxys hoopesii,1,1,HLS,,,,EMEC_SI_PL_080912_383,Colias eurytheme,Colias,Pieridae,L.Ponisio
29,Colias_eurytheme,CH,82112,199,sulfur,,,purple flower,Glandularia bipinnatifida,4,1,HLS,,,,EMEC_SI_CH_082112_199,Colias eurytheme,Colias,Pieridae,L.Ponisio
30,Colias_eurytheme,CH,82112,187,sulfur,,,yellow aster,Heliomeris multiflora var. nevadensis,4,2,HLS,,,,EMEC_SI_CH_082112_187,Colias eurytheme,Colias,Pieridae,L.Ponisio
31,Colias_eurytheme,JC,71612,152,Sulfur,Colias eurytheme,f,Western wallflower,Erysimum capitatum,5,1,HLS,,,,EMEC_SI_JC_071612_152,Colias eurytheme,Colias,Pieridae,L.Ponisio
32,Colias_eurytheme,SC,72712,264,sulfur,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,,EMEC_SI_SC_072712_264,Colias eurytheme,Colias,Pieridae,L.Ponisio
33,Colias_eurytheme,PL,81212,293,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,4,1,LCP,,,,EMEC_SI_PL_081212_293,Colias eurytheme,Colias,Pieridae,L.Ponisio
34,Colias_eurytheme,PL,81312,229,sulfur,Colias eurytheme,,thistle,Cirsium parryi,5,1,HLS,,,,EMEC_SI_PL_081312_229,Colias eurytheme,Colias,Pieridae,L.Ponisio
35,Colias_eurytheme,JC,71712,6,sulfur,Colias eurytheme,f,Hymenopappus newberryi,Hymenopappus newberryi,6,1,HLS,,,,EMEC_SI_JC_071712_6,Colias eurytheme,Colias,Pieridae,L.Ponisio
36,Colias_eurytheme,PL,81012,333,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,2,1,HLS,,,,EMEC_SI_PL_081012_333,Colias eurytheme,Colias,Pieridae,L.Ponisio
37,Colias_eurytheme,JC,71412,28,pierid,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,,EMEC_SI_JC_071412_28,Colias eurytheme,Colias,Pieridae,L.Ponisio
38,Colias_eurytheme,PL,80912,391,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,1,1,HLS,,,,EMEC_SI_PL_080912_391,Colias eurytheme,Colias,Pieridae,L.Ponisio
39,Colias_eurytheme,PL,80912,381,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,1,1,HLS,,,,EMEC_SI_PL_080912_381,Colias eurytheme,Colias,Pieridae,L.Ponisio
40,Colias_eurytheme,JC,71212,129,pierid,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,,EMEC_SI_JC_071212_129,Colias eurytheme,Colias,Pieridae,L.Ponisio
41,Colias_eurytheme,PL,81212,292,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,4,1,LCP,,,,EMEC_SI_PL_081212_292,Colias eurytheme,Colias,Pieridae,L.Ponisio
42,Colias_eurytheme,JC,71512,18,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,,EMEC_SI_JC_071512_18,Colias eurytheme,Colias,Pieridae,L.Ponisio
43,Colias_eurytheme,PL,81212,291,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,4,1,LCP,,,,EMEC_SI_PL_081212_291,Colias eurytheme,Colias,Pieridae,L.Ponisio
44,Colias_eurytheme,PL,81112,288,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,3,1,HLS,,,,EMEC_SI_PL_081112_288,Colias eurytheme,Colias,Pieridae,L.Ponisio
45,Colias_eurytheme,JC,71712,8,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,,EMEC_SI_JC_071712_8,Colias eurytheme,Colias,Pieridae,L.Ponisio
46,Colias_eurytheme,CH,82112,189,sulfur,,,yellow aster,Heliomeris multiflora var. nevadensis,4,1,HLS,,,,EMEC_SI_CH_082112_189,Colias eurytheme,Colias,Pieridae,L.Ponisio
47,Colias_eurytheme,PL,81112,275,sulfur,Colias eurytheme,,thistle,Cirsium parryi,3,1,HLS,,,,EMEC_SI_PL_081112_275,Colias eurytheme,Colias,Pieridae,L.Ponisio
48,Colias_eurytheme,PL,80912,401,sulfur,Colias eurytheme,,wall flower,Erysimum capitatum,1,1,LCP,,,Specimen destroyed,EMEC_SI_PL_080912_401,Colias eurytheme,Colias,Pieridae,L.Ponisio
49,Colias_eurytheme,JC,71212,127,pierid,Colias eurytheme,m,Hymenopappus newberryi,Hymenopappus newberryi,2,1,LCP,,,,EMEC_SI_JC_071212_127,Colias eurytheme,Colias,Pieridae,L.Ponisio
50,Colias_eurytheme,JC,71512,6,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,,EMEC_SI_JC_071512_6,Colias eurytheme,Colias,Pieridae,L.Ponisio
51,Colias_eurytheme,JC,71612,5,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,,EMEC_SI_JC_071612_5,Colias eurytheme,Colias,Pieridae,L.Ponisio
52,Colias_eurytheme,PL,81112,268,sulfur,Colias eurytheme,,wall flower,Erysimum capitatum,3,1,LCP,,,,EMEC_SI_PL_081112_268,Colias eurytheme,Colias,Pieridae,L.Ponisio
53,Colias_eurytheme,PL,81112,272,sulfur,Colias eurytheme,,big yellow aster,Hymenoxys hoopesii,3,1,HLS,,,,EMEC_SI_PL_081112_272,Colias eurytheme,Colias,Pieridae,L.Ponisio
54,Colias_eurytheme,JC,71512,17,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,,EMEC_SI_JC_071512_17,Colias eurytheme,Colias,Pieridae,L.Ponisio
55,Colias_eurytheme,MM,80212,335,sulfur,,,yellow brassica,Erysimum capitatum,3,2,HLS,,,,EMEC_SI_MM_080212_335,Colias eurytheme,Colias,Pieridae,L.Ponisio
56,Colias_eurytheme,PL,81012,334,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,2,1,HLS,,,,EMEC_SI_PL_081012_334,Colias eurytheme,Colias,Pieridae,L.Ponisio
57,Colias_eurytheme,JC,71512,9,sulfur,Colias eurytheme,f,Hymenopappus newberryi,Hymenopappus newberryi,4,1,LCP,,,,EMEC_SI_JC_071512_9,Colias eurytheme,Colias,Pieridae,L.Ponisio
58,Colias_eurytheme,PL,81112,279,sulfur,Colias eurytheme,,orange dandilion,Agoseris aurantica,3,1,HLS,,,,EMEC_SI_PL_081112_279,Colias eurytheme,Colias,Pieridae,L.Ponisio
59,Colias_eurytheme,JC,71512,16,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,,EMEC_SI_JC_071512_16,Colias eurytheme,Colias,Pieridae,L.Ponisio
60,Colias_eurytheme,PL,80912,380,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,1,1,HLS,,,,EMEC_SI_PL_080912_380,Colias eurytheme,Colias,Pieridae,L.Ponisio
61,Colias_eurytheme,PL,81112,274,sulfur,Colias eurytheme,,purple penstemon,Penstemon strictus,3,1,HLS,,,,EMEC_SI_PL_081112_274,Colias eurytheme,Colias,Pieridae,L.Ponisio
62,Colias_eurytheme,PL,80912,384,sulfur,Colias eurytheme,,big yellow aster,Hymenoxys hoopesii,1,1,HLS,,,,EMEC_SI_PL_080912_384,Colias eurytheme,Colias,Pieridae,L.Ponisio
63,Colias_eurytheme,PL,81112,277,sulfur,Colias eurytheme,,big yellow aster,Hymenoxys hoopesii,3,1,HLS,,,,EMEC_SI_PL_081112_277,Colias eurytheme,Colias,Pieridae,L.Ponisio
64,Colias_eurytheme,JC,71512,2,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,,EMEC_SI_JC_071512_2,Colias eurytheme,Colias,Pieridae,L.Ponisio
65,Colias_eurytheme,JC,71512,3,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,,EMEC_SI_JC_071512_3,Colias eurytheme,Colias,Pieridae,L.Ponisio
66,Colias_eurytheme,JC,71712,14,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,,EMEC_SI_JC_071712_14,Colias eurytheme,Colias,Pieridae,L.Ponisio
67,Colias_eurytheme,SC,72012,327,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,1,1,HLS,,,,EMEC_SI_SC_072012_327,Colias eurytheme,Colias,Pieridae,L.Ponisio
68,Colias_eurytheme,PL,81112,278,sulfur,Colias eurytheme,,thistle,Cirsium parryi,3,1,HLS,,,,EMEC_SI_PL_081112_278,Colias eurytheme,Colias,Pieridae,L.Ponisio
69,Colias_eurytheme,PL,81312,276,sulfur,,,purple flower,Glandularia bipinnatifida,5,1,LCP,,,,EMEC_SI_PL_081312_276,Colias eurytheme,Colias,Pieridae,L.Ponisio
70,Colias_eurytheme,SC,72612,283,sulfur,,,wall flower,Erysimum capitatum,4,1,LCP,,,,EMEC_SI_SC_072612_283,Colias eurytheme,Colias,Pieridae,L.Ponisio
71,Colias_eurytheme,PL,81112,267B,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,,EMEC_SI_PL_081112_267B,Colias eurytheme,Colias,Pieridae,L.Ponisio
72,Colias_eurytheme,MM,80112,241,sulfur,,,yellow brassica,Erysimum capitatum,2,1,HLS,,,,EMEC_SI_MM_080112_241,Colias eurytheme,Colias,Pieridae,L.Ponisio
73,Colias_eurytheme,JC,71212,126,pierid,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,,EMEC_SI_JC_071212_126,Colias eurytheme,Colias,Pieridae,L.Ponisio
74,Colias_eurytheme,CH,82112,186,sulfur,,,purple flower,Glandularia bipinnatifida,4,2,HLS,,,,EMEC_SI_CH_082112_186,Colias eurytheme,Colias,Pieridae,L.Ponisio
75,Colias_eurytheme,PL,81012,325,Colias eurytheme,Colias eurytheme,f,purple flower,Glandularia bipinnatifida,2,1,LCP,,,,EMEC_SI_PL_081012_325,Colias eurytheme,Colias,Pieridae,L.Ponisio
76,Colias_eurytheme,PL,81012,336,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,2,1,HLS,,,,EMEC_SI_PL_081012_336,Colias eurytheme,Colias,Pieridae,L.Ponisio
77,Colias_eurytheme,JC,71512,5,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,,EMEC_SI_JC_071512_5,Colias eurytheme,Colias,Pieridae,L.Ponisio
78,Colias_eurytheme,SC,72012,323,sulfur,Colias eurytheme,f,pea,Oxytropis lambertii,1,1,HLS,,,,EMEC_SI_SC_072012_323,Colias eurytheme,Colias,Pieridae,L.Ponisio
79,Colias_eurytheme,JC,71612,12,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,,EMEC_SI_JC_071612_12,Colias eurytheme,Colias,Pieridae,L.Ponisio
80,Colias_eurytheme,PL,80912,405,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,1,1,LCP,,,,EMEC_SI_PL_080912_405,Colias eurytheme,Colias,Pieridae,L.Ponisio
81,Colias_eurytheme,PL,80912,400,sulfur,Colias eurytheme,,wall flower,Erysimum capitatum,1,1,LCP,,,,EMEC_SI_PL_080912_400,Colias eurytheme,Colias,Pieridae,L.Ponisio
82,Colias_eurytheme,PL,81112,278B,sulfur,Colias eurytheme,,thistle,Cirsium parryi,3,1,HLS,,,,EMEC_SI_PL_081112_278B,Colias eurytheme,Colias,Pieridae,L.Ponisio
83,Colias_eurytheme,PL,81312,231,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,5,1,HLS,,,,EMEC_SI_PL_081312_231,Colias eurytheme,Colias,Pieridae,L.Ponisio
84,Colias_eurytheme,SC,72712,265,sulfur,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,,EMEC_SI_SC_072712_265,Colias eurytheme,Colias,Pieridae,L.Ponisio
85,Colias_eurytheme,PL,81212,288,vanessa,,,thistle,Cirsium parryi,4,1,HLS,,,,EMEC_SI_PL_081212_288,Colias eurytheme,Colias,Pieridae,L.Ponisio
86,Colias_eurytheme,SC,72012,325,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,1,1,HLS,,,,EMEC_SI_SC_072012_325,Colias eurytheme,Colias,Pieridae,L.Ponisio
87,Colias_eurytheme,JC,71512,4,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,,EMEC_SI_JC_071512_4,Colias eurytheme,Colias,Pieridae,L.Ponisio
88,Colias_eurytheme,JC,71612,4,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,,EMEC_SI_JC_071612_4,Colias eurytheme,Colias,Pieridae,L.Ponisio
89,Colias_eurytheme,JC,71712,11,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,,EMEC_SI_JC_071712_11,Colias eurytheme,Colias,Pieridae,L.Ponisio
90,Colias_eurytheme,MM,80212,331,sulfur,,,yellow brassica,Erysimum capitatum,3,1,LCP,,,,EMEC_SI_MM_080212_331,Colias eurytheme,Colias,Pieridae,L.Ponisio
91,Colias_eurytheme,PL,81012,335,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,2,1,HLS,,,,EMEC_SI_PL_081012_335,Colias eurytheme,Colias,Pieridae,L.Ponisio
