uniqueID,finalPlantID,collector,county,country,lat,long,state
EMEC_SI_JC_071212_97,Potentilla hippiana,LCP,Santa Fe,USA," 35¡51'18.33""N","105¡38'26.07""W",New Mexico
EMEC_SI_JC_071412_17,Campanula rotundifolia,LCP,Santa Fe,USA," 35¡51'18.33""N","105¡38'26.07""W",New Mexico
EMEC_SI_JC_071412_39,Erigeron subtrinervis,LCP,Santa Fe,USA," 35¡51'18.33""N","105¡38'26.07""W",New Mexico
EMEC_SI_JC_071512_70,Campanula rotundifolia,LCP,Santa Fe,USA," 35¡51'18.33""N","105¡38'26.07""W",New Mexico
EMEC_SI_JC_071512_165,Erigeron subtrinervis,HLS,Santa Fe,USA," 35¡51'18.33""N","105¡38'26.07""W",New Mexico
EMEC_SI_JC_071612_27,Senecio eremophilus,LCP,Santa Fe,USA," 35¡51'18.33""N","105¡38'26.07""W",New Mexico
EMEC_SI_JC_071712_152,Campanula rotundifolia,LCP,Santa Fe,USA," 35¡51'18.33""N","105¡38'26.07""W",New Mexico
EMEC_SI_MM_073112_67,Vicia pulchella,LCP,Socorro,USA," 33¡59'29.31""N","107¡11'1.23""W",New Mexico
EMEC_SI_MM_073112_70,Cirsium neomexicanum,LCP,Socorro,USA," 33¡59'29.31""N","107¡11'1.23""W",New Mexico
EMEC_SI_MM_073112_97,Monardella odoratissima,LCP,Socorro,USA," 33¡59'29.31""N","107¡11'1.23""W",New Mexico
EMEC_SI_MM_080112_20,Vicia pulchella,HLS,Socorro,USA," 33¡59'29.31""N","107¡11'1.23""W",New Mexico
EMEC_SI_MM_080112_93,Phacelia heterophylla,HLS,Socorro,USA," 33¡59'29.31""N","107¡11'1.23""W",New Mexico
EMEC_SI_MM_080112_139,Vicia pulchella,LCP,Socorro,USA," 33¡59'29.31""N","107¡11'1.23""W",New Mexico
EMEC_SI_MM_080112_191,Potentilla hippiana,LCP,Socorro,USA," 33¡59'29.31""N","107¡11'1.23""W",New Mexico
EMEC_SI_MM_080112_194,Potentilla hippiana,LCP,Socorro,USA," 33¡59'29.31""N","107¡11'1.23""W",New Mexico
EMEC_SI_MM_080212_260,Potentilla hippiana,HLS,Socorro,USA," 33¡59'29.31""N","107¡11'1.23""W",New Mexico
EMEC_SI_MM_080412_99,Phacelia heterophylla,HLS,Socorro,USA," 33¡59'29.31""N","107¡11'1.23""W",New Mexico
EMEC_SI_MM_080412_134,Vicia pulchella,LCP,Socorro,USA," 33¡59'29.31""N","107¡11'1.23""W",New Mexico
EMEC_SI_PL_080912_130,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_080912_131,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_080912_132,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_080912_133,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_080912_134,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_080912_135,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_080912_136,Hypericum scouleri,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_080912_248,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_080912_250,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_080912_335,Hypericum scouleri,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_080912_344,Penstemon strictus,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081012_7,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081012_8,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081012_12,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081012_15,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081012_16,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081012_85,Dodecatheon pulchellum,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081012_101,Penstemon strictus,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081012_248,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081012_252,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081012_287,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_2,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_3,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_7,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_28,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_57,Hymenoxys hoopesii,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_136,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_137,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_147,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_155,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_178,Penstemon strictus,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_180,Penstemon strictus,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081112_200,Glandularia bipinnatifida,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081212_14,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081212_19,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081212_20,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081212_21,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081212_150,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081212_151,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081212_152,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081212_153,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081212_166,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081212_263,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_9,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_21,Penstemon strictus,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_113,Cirsium arizonicum var. arizonicum,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_122,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_160,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_162,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_163,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_167,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_168,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_169,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_170,Cirsium parryi,HLS,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_PL_081312_296,Cirsium parryi,LCP,Graham,USA," 32¡40'6.21""N","109¡52'39.51""W",Arizona
EMEC_SI_SC_072012_113,Solidago multiradiata,LCP,Bernalillo,USA," 35¡12'22.86""N","106¡26'36.15""W",New Mexico
EMEC_SI_SC_072012_150,Potentilla hippiana,LCP,Bernalillo,USA," 35¡12'22.86""N","106¡26'36.15""W",New Mexico
EMEC_SI_SC_072712_204,Potentilla hippiana,LCP,Bernalillo,USA," 35¡12'22.86""N","106¡26'36.15""W",New Mexico
