expense,date,amount,notes,vendor,grant
food,7/7/12,79.59,Wilcox,Turquoise room,
food,7/7/12,18.61,Santa Nella,In-n-out,
food,7/8/12,31.03,Needles,Juicy's famous river caf_,
food,7/9/12,77.43,Albuquerque,Costco,
food,7/13/12,68.16,Santa Fe,Casa Chimayo,
food,7/18/12,79.39,Albuquerque,Costco,
food,7/19/12,50.89,Albuquerque,Trader Joes,
food,7/21/12,106.36,Albuquerque,Costco,
food,7/24/12,36.57,Albuquerque,Co-op,
food,7/24/12,28.71,Albuquerque,Cocina Azul,
food,7/26/12,21.4,Albuquerque,Monroe's,
food,7/27/12,44.3,Albuquerque,Powdrells BBQ,
food,7/29/12,43.76,Albuquerque,Monroe's,
food,7/29/12,29.05,Albuquerque,Costco,
food,7/30/12,19.01,Magdalena,lotaburger,
food,7/30/12,11.16,Albuquerque,John Brooks,
food,8/4/12,16.22,Magdalena,Sonic,
food,8/7/12,16.48,Albuquerque,Co-op,
food,8/7/12,18.99,Albuquerque,Lowe's,
food,8/11/12,9.62,Safford,Safford restaurant ,
food,8/21/12,26.49,Portal,Portal peak lodge,
gas,5/10/12,41.32,,,
gas,5/10/12,32.11,,,
gas,5/10/12,36.47,,,
gas,5/11/12,37.73,,,
gas,5/17/12,28.09,,,
gas,5/19/12,49.12,,,
gas,5/21/12,22.48,,,
gas,5/22/12,28.25,,,
gas,5/22/12,44.34,,,
gas,5/22/12,25,,,
gas,5/24/12,52.75,,,
gas,7/7/12,72.46,,,
gas,7/7/12,59.07,,,
gas,7/8/12,63.49,,,
gas,7/10/12,55.37,,,
gas,7/10/12,24.13,,,
gas,7/13/12,47.65,,,
gas,7/20/12,53.6,,,
gas,7/20/12,17.4,,,
gas,7/26/12,68.09,,,
gas,8/6/12,66.23,,,
gas,8/8/12,50.5,,,
gas,8/11/12,56.77,,,
gas,8/20/12,74.25,,,
gas,8/23/12,65.26,,,
gas,8/23/12,65.26,,,
gas,8/23/12,67.74,,,
gas,8/23/12,38.31,,,
gas,8/24/12,50.59,,,
gas,,56.25,,,
R&B,5/11/12,100.81,Quinta,,Walker
R&B,5/19/12,460,SWRS,,Walker
R&B,7/8/12,86.45,Needles,Rio del Sol Inn,Walker
R&B,8/23/12,506,SWRS,Southwest research station,
R&B,,130,,camping,
supplies,2/24/12,40.5,net,RoseEntomology,X
supplies,5/10/12,79.95,maps,Holman's,X
supplies,5/21/12,94,kestrel,amazon,X
supplies,5/21/12,26.26,stop watches,amazon,X
supplies,5/21/12,7.03,sharpies,amazon,X
supplies,5/28/12,52,field desks,amazon,X
supplies,6/27/12,43.29,signs,Vick's copy,X
supplies,6/30/12,18.48,magnets,ACE,X
supplies,6/30/12,15.58,mat and knife,Joans,X
supplies,6/30/12,39.98,storage,Joans,X
supplies,7/9/12,45.4,camping,Walmart,
supplies,7/19/12,43,snapcaps,Bioquip,X
supplies,7/22/12,22.8,"firstaid, propane",Walmart,
supplies,7/22/12,8.18,sharpies,Walmart,X
supplies,7/22/12,4.88,wetones,Walmart,X
supplies,8/5/12,32.54,box,Walmart,
supplies,8/6/12,13.88,box,Walmart,X
supplies,8/8/12,101.64,pins,Bioquip,X
