Meadow,GeneralID,Family,GenusSpecies,Forest,State,Deteriner,Count,notes
Kiwanis meadow,bee,Andrenidae,Andrena apacheorum,Cibola,New Mexico,J.S. Ascher,1,native
Kiwanis meadow,bee,Andrenidae,Pseudopanurgus atricornis,Cibola,New Mexico,J.S. Ascher,177,native
Kiwanis meadow,bee,Apidae,Anthophora montana,Cibola,New Mexico,J.S. Ascher,45,native
Kiwanis meadow,bee,Apidae,Melissodes confusa,Cibola,New Mexico,K. Wright,7,native
Kiwanis meadow,bee,Apidae,Melissodes grindeliae,Cibola,New Mexico,K. Wright,2,native
Kiwanis meadow,bee,Apidae,Melissodes menuachus,Cibola,New Mexico,K. Wright,1,native
Kiwanis meadow,bee,Apidae,Melissodes pallidisignata,Cibola,New Mexico,K. Wright,2,native
Kiwanis meadow,bee,Apidae,Melissodes sp. c,Cibola,New Mexico,K. Wright,1,native
Kiwanis meadow,bee,Apidae,Triepeolus sp. a,Cibola,New Mexico,J.S. Ascher,1,native
Kiwanis meadow,bee,Apidae,Bombus centralis,Cibola,New Mexico,R.W. Thorp,1,native
Kiwanis meadow,bee,Apidae,Bombus fervidus,Cibola,New Mexico,R.W. Thorp,8,native
Kiwanis meadow,bee,Apidae,Bombus flavifrons,Cibola,New Mexico,R.W. Thorp,18,native
Kiwanis meadow,bee,Apidae,Bombus huntii,Cibola,New Mexico,R.W. Thorp,70,native
Kiwanis meadow,bee,Apidae,Bombus morrisoni,Cibola,New Mexico,R.W. Thorp,1,native
Kiwanis meadow,bee,Apidae,Bombus nevadensis,Cibola,New Mexico,R.W. Thorp,14,native
Kiwanis meadow,bee,Colletidae,Colletes gilensis,Cibola,New Mexico,J.S. Ascher,1,native
Kiwanis meadow,bee,Colletidae,Hylaeus annulatus,Cibola,New Mexico,J.S. Ascher,4,native
Kiwanis meadow,bee,Halictidae,Agapostemen angelicus,Cibola,New Mexico,J.S. Ascher,70,native
Kiwanis meadow,bee,Halictidae,Dufourea maura,Cibola,New Mexico,T. Griswold,5,native
Kiwanis meadow,bee,Halictidae,Halictus farinosus,Cibola,New Mexico,J. Gibbs,3,native
Kiwanis meadow,bee,Halictidae,Halictus ligatus,Cibola,New Mexico,J. Gibbs,2,native
Kiwanis meadow,bee,Halictidae,Halictus tripartitus,Cibola,New Mexico,J. Gibbs,5,native
Kiwanis meadow,bee,Halictidae,Lasioglossum cinctipes,Cibola,New Mexico,J. Gibbs,1,native
Kiwanis meadow,bee,Halictidae,Lasioglossum cooleyi,Cibola,New Mexico,J. Gibbs,1,native
Kiwanis meadow,bee,Halictidae,Lasioglossum diatretum,Cibola,New Mexico,J. Gibbs,2,native
Kiwanis meadow,bee,Halictidae,Lasioglossum lusorium,Cibola,New Mexico,J. Gibbs,1,native
Kiwanis meadow,bee,Halictidae,Lasioglossum manitouellum,Cibola,New Mexico,J. Gibbs,4,native
Kiwanis meadow,bee,Halictidae,Lasioglossum occultum,Cibola,New Mexico,J. Gibbs,18,native
Kiwanis meadow,bee,Halictidae,Lasioglossum ruficorne,Cibola,New Mexico,J. Gibbs,2,native
Kiwanis meadow,bee,Halictidae,Lasioglossum ruidosense,Cibola,New Mexico,J. Gibbs,16,native
Kiwanis meadow,bee,Halictidae,Lasioglossum semicaeruleum,Cibola,New Mexico,J. Gibbs,59,native
Kiwanis meadow,bee,Halictidae,Lasioglossum sisymbrii,Cibola,New Mexico,J. Gibbs,158,native
Kiwanis meadow,bee,Halictidae,Sphecodes sp. a,Cibola,New Mexico,J.S. Ascher,7,native
Kiwanis meadow,bee,Halictidae,Sphecodes sp. b,Cibola,New Mexico,J.S. Ascher,44,native
Kiwanis meadow,bee,Megachilidae,Megachile fidelis,Cibola,New Mexico,J.S. Ascher,2,native
Kiwanis meadow,butterfly,Lycaenidae,Hemiargus isola,Cibola,New Mexico,L.Ponisio,6,native
Kiwanis meadow,butterfly,Lycaenidae,Ministrymon leda,Cibola,New Mexico,L.Ponisio,1,native
Kiwanis meadow,butterfly,Lycaenidae,Plebejus acmon,Cibola,New Mexico,L.Ponisio,4,native
Kiwanis meadow,butterfly,Nymphalidae,Polygonia gracilis,Cibola,New Mexico,L.Ponisio,1,native
