Meadow,Family,GenusSpecies,Forest,State,Deteriner,Count
Barefoot,Trochilidae,Selasphorus platycercus,Coronado,Arizona,A.J. Rominger,4
Barefoot,Trochilidae,Selasphorus rufus,Coronado,Arizona,A.J. Rominger,4
Barefoot,Vespidae,Ancistrocerus bustamente,Coronado,Arizona,J. Carpenter,3
Barefoot,Vespidae,Ancistrocerus tuberculocephalus,Coronado,Arizona,J. Carpenter,2
Barefoot,Vespidae,Eumenes bollii,Coronado,Arizona,J. Carpenter,1
Barefoot,Vespidae,Euodynerus hidalgo,Coronado,Arizona,J. Carpenter,1
Barefoot,Halictidae,Agapostemen angelicus,Coronado,Arizona,J.S. Ascher,1
Barefoot,Apidae,Anthophora marginata,Coronado,Arizona,J.S. Ascher,1
Barefoot,Apidae,Anthophora montana,Coronado,Arizona,J.S. Ascher,4
Barefoot,Apidae,Anthophora urbana,Coronado,Arizona,J.S. Ascher,1
Barefoot,Apidae,Apis mellifera,Coronado,Arizona,J.S. Ascher,176
Barefoot,Halictidae,Dieunomia nevadensis arizonensis,Coronado,Arizona,J.S. Ascher,1
Barefoot,Halictidae,Lasioglossum desertum,Coronado,Arizona,J.S. Ascher,2
Barefoot,Apidae,Melissodes confusa,Coronado,Arizona,J.S. Ascher,23
Barefoot,Apidae,Xylacopa californica arizonensis,Coronado,Arizona,J.S. Ascher,3
Barefoot,Pieridae,Colias eurytheme,Coronado,Arizona,L.Ponisio,5
Barefoot,Nymphalidae,Euptoierta claudia,Coronado,Arizona,L.Ponisio,3
Barefoot,Lycaenidae,Hemiargus ceraunus,Coronado,Arizona,L.Ponisio,1
Barefoot,Lycaenidae,Hemiargus isola,Coronado,Arizona,L.Ponisio,15
Barefoot,Lycaenidae,Leptotes marina,Coronado,Arizona,L.Ponisio,2
Barefoot,Nymphalidae,Limenitis bredowii,Coronado,Arizona,L.Ponisio,6
Barefoot,Papilionidae,Papilio polyxenes,Coronado,Arizona,L.Ponisio,1
Barefoot,Nymphalidae,Phyciodes tharos,Coronado,Arizona,L.Ponisio,1
Barefoot,Hesperiidae,Poanes zabulon taxiles,Coronado,Arizona,L.Ponisio,1
Barefoot,Nymphalidae,Polygonia gracilis,Coronado,Arizona,L.Ponisio,2
Barefoot,Pieridae,Pontia protodice,Coronado,Arizona,L.Ponisio,1
Barefoot,Hesperiidae,Pyrgus commonis,Coronado,Arizona,L.Ponisio,1
Barefoot,Nymphalidae,Vanessa atlanta,Coronado,Arizona,L.Ponisio,1
Barefoot,Nymphalidae,Vanessa cardui,Coronado,Arizona,L.Ponisio,11
Barefoot,Nymphalidae,Vanessa carye annabella,Coronado,Arizona,L.Ponisio,1
Barefoot,Nymphalidae,Vanessa virginiensis,Coronado,Arizona,L.Ponisio,2
Barefoot,Syrphidae,Allograpta exotica,Coronado,Arizona,M. Hauser,1
Barefoot,Syrphidae,Allograpta obliqua,Coronado,Arizona,M. Hauser,6
Barefoot,Syrphidae,Chrysotoxum sp. a,Coronado,Arizona,M. Hauser,1
Barefoot,Syrphidae,Copestylum anna,Coronado,Arizona,M. Hauser,2
Barefoot,Syrphidae,Copestylum apiciferum,Coronado,Arizona,M. Hauser,1
Barefoot,Syrphidae,Copestylum haagi,Coronado,Arizona,M. Hauser,1
Barefoot,Syrphidae,Copestylum lentum,Coronado,Arizona,M. Hauser,1
Barefoot,Syrphidae,Copestylum violaceum,Coronado,Arizona,M. Hauser,6
Barefoot,Syrphidae,Eristalis stipator,Coronado,Arizona,M. Hauser,4
Barefoot,Syrphidae,Mallota sackeni,Coronado,Arizona,M. Hauser,1
Barefoot,Syrphidae,Palpada mexicana,Coronado,Arizona,M. Hauser,1
Barefoot,Syrphidae,Platycheirus stegnus,Coronado,Arizona,M. Hauser,2
Barefoot,Syrphidae,Sphaerophoria sp. a,Coronado,Arizona,M. Hauser,1
Barefoot,Syrphidae,Spilomyia kahli,Coronado,Arizona,M. Hauser,1
Barefoot,Syrphidae,Syritta pipiens,Coronado,Arizona,M. Hauser,1
Barefoot,Syrphidae,Syrphus opinator,Coronado,Arizona,M. Hauser,1
Barefoot,Syrphidae,Syrphus ribesii,Coronado,Arizona,M. Hauser,5
Barefoot,Syrphidae,Syrphus sonorensis,Coronado,Arizona,M. Hauser,9
Barefoot,Apidae,Bombus sonorus,Coronado,Arizona,R.W. Thorp,67
Hospital Flat,Vespidae,Ancistrocerus antilope,Coronado,Arizona,J. Carpenter,2
Hospital Flat,Vespidae,Ancistrocerus bustamente,Coronado,Arizona,J. Carpenter,1
Hospital Flat,Vespidae,Ancistrocerus catskill,Coronado,Arizona,J. Carpenter,1
Hospital Flat,Vespidae,Ancistrocerus lineativentris,Coronado,Arizona,J. Carpenter,1
Hospital Flat,Vespidae,Ancistrocerus tuberculocephalus,Coronado,Arizona,J. Carpenter,2
Hospital Flat,Vespidae,Euodynerus annulatus,Coronado,Arizona,J. Carpenter,1
Hospital Flat,Vespidae,Stenodynerus toas,Coronado,Arizona,J. Carpenter,1
Hospital Flat,Halictidae,Agapostemen angelicus,Coronado,Arizona,J.S. Ascher,3
Hospital Flat,Andrenidae,Andrena apacheorum,Coronado,Arizona,J.S. Ascher,62
Hospital Flat,Apidae,Anthophora californica,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Apidae,Anthophora montana,Coronado,Arizona,J.S. Ascher,28
Hospital Flat,Apidae,Anthophora terminalis,Coronado,Arizona,J.S. Ascher,28
Hospital Flat,Apidae,Apis mellifera,Coronado,Arizona,J.S. Ascher,85
Hospital Flat,Colletidae,Colletes skinneri,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Apidae,Diadasia diminuta,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Halictidae,Dieunomia nevadensis arizonensis,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Halictidae,Halictus ligatus,Coronado,Arizona,J.S. Ascher,3
Hospital Flat,Halictidae,Halictus tripartitus,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Halictidae,Lasioglossum desertum,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Halictidae,Lasioglossum ruidosense,Coronado,Arizona,J.S. Ascher,9
Hospital Flat,Halictidae,Lasioglossum semicaeruleum,Coronado,Arizona,J.S. Ascher,7
Hospital Flat,Halictidae,Lasioglossum sisymbrii,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Megachilidae,Megachile fidelis,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Megachilidae,Megachile inimica sayi,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Megachilidae,Megachile policaris,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Apidae,Melissodes confusa,Coronado,Arizona,J.S. Ascher,60
Hospital Flat,Apidae,Melissodes gilensis,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Apidae,Melissodes limbus,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Apidae,Melissodes paroselae,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Apidae,Melissodes tristis,Coronado,Arizona,J.S. Ascher,3
Hospital Flat,Apidae,Melissodes verbesinarum,Coronado,Arizona,J.S. Ascher,2
Hospital Flat,Andrenidae,Pseudopanurgus atricornis,Coronado,Arizona,J.S. Ascher,6
Hospital Flat,Apidae,Ptilothrix sp. a,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Apidae,Svastra machaerantherae,Coronado,Arizona,J.S. Ascher,2
Hospital Flat,Apidae,Svastra sp. a,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Apidae,Tetraloniella lippiae,Coronado,Arizona,J.S. Ascher,1
Hospital Flat,Apidae,Xylacopa californica arizonensis,Coronado,Arizona,J.S. Ascher,10
Hospital Flat,Hesperiidae,Achalarus casica,Coronado,Arizona,L.Ponisio,1
Hospital Flat,Hesperiidae,Autochton cellus,Coronado,Arizona,L.Ponisio,1
Hospital Flat,Papilionidae,Battus philenor,Coronado,Arizona,L.Ponisio,14
Hospital Flat,Lycaenidae,Celastrina argiolus ladon,Coronado,Arizona,L.Ponisio,1
Hospital Flat,Pieridae,Colias eurytheme,Coronado,Arizona,L.Ponisio,36
Hospital Flat,Hesperiidae,Epargyreus clarus,Coronado,Arizona,L.Ponisio,14
Hospital Flat,Hesperiidae,Erynnis sp. a,Coronado,Arizona,L.Ponisio,1
Hospital Flat,Hesperiidae,Erynnis sp. b,Coronado,Arizona,L.Ponisio,1
Hospital Flat,Nymphalidae,Euptoierta claudia,Coronado,Arizona,L.Ponisio,8
Hospital Flat,Pieridae,Eurema nicippe,Coronado,Arizona,L.Ponisio,2
Hospital Flat,Lycaenidae,Hemiargus isola,Coronado,Arizona,L.Ponisio,7
Hospital Flat,Hesperiidae,Hesperia comma,Coronado,Arizona,L.Ponisio,42
Hospital Flat,Hesperiidae,Hesperia pahaska,Coronado,Arizona,L.Ponisio,39
Hospital Flat,Lycaenidae,Leptotes marina,Coronado,Arizona,L.Ponisio,2
Hospital Flat,Nymphalidae,Libytheana carinenta,Coronado,Arizona,L.Ponisio,1
Hospital Flat,Hesperiidae,Ochlodes snowi,Coronado,Arizona,L.Ponisio,2
Hospital Flat,Papilionidae,Papilio multicaudata,Coronado,Arizona,L.Ponisio,1
Hospital Flat,Papilionidae,Papilio polyxenes,Coronado,Arizona,L.Ponisio,4
Hospital Flat,Nymphalidae,Phyciodes tharos,Coronado,Arizona,L.Ponisio,4
Hospital Flat,Hesperiidae,Pyrgus commonis,Coronado,Arizona,L.Ponisio,5
Hospital Flat,Nymphalidae,Speyeria atlantis,Coronado,Arizona,L.Ponisio,34
Hospital Flat,Lycaenidae,Strymon melinus,Coronado,Arizona,L.Ponisio,1
Hospital Flat,Nymphalidae,Texola elada,Coronado,Arizona,L.Ponisio,1
Hospital Flat,Hesperiidae,Thorybes pylades,Coronado,Arizona,L.Ponisio,5
Hospital Flat,Nymphalidae,Vanessa cardui,Coronado,Arizona,L.Ponisio,65
Hospital Flat,Nymphalidae,Vanessa carye annabella,Coronado,Arizona,L.Ponisio,2
Hospital Flat,Syrphidae,Allograpta exotica,Coronado,Arizona,M. Hauser,1
Hospital Flat,Syrphidae,Cheilosia sp. a,Coronado,Arizona,M. Hauser,66
Hospital Flat,Syrphidae,Copestylum avidum,Coronado,Arizona,M. Hauser,10
Hospital Flat,Syrphidae,Copestylum lentum,Coronado,Arizona,M. Hauser,1
Hospital Flat,Syrphidae,Copestylum marginatum,Coronado,Arizona,M. Hauser,6
